,meas,A,Aerr,c,cerr,d,derr,chi2red,e_val,e_sem,frac_1s,min_sem
0,HH,16858.362381634568,17.121238570654878,-30.236566003143043,0.0005319725234768325,4372.510121532813,6.086189247106369,37.20344478439747,3.731230914292042,,0.10810810810810811,0.4028254581599546
1,VV,21619.586627241548,18.04686711066114,59.28984332270541,0.00037096670731424724,1639.5577257234147,5.139543420684688,12.363893149010979,2.9419018291784287,,0.24324324324324326,0.4028254581599546
