,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-30.0,717+/-12,780+/-8,698+/-13,824+/-10,1347+/-19,184.2+/-2.5,38.6+/-1.9,1501+/-29,3.118+/-0.008
1,-28.88888888888889,907+/-21,584+/-13,522+/-9,997+/-8,1334+/-13,244+/-6,69+/-5,1468+/-22,2.832+/-0.010
2,-27.77777777777778,1092+/-6,433+/-8,373+/-6,1183+/-12,1277+/-14,316+/-5,130+/-4,1408+/-16,2.561+/-0.007
3,-26.666666666666668,1270+/-24,284+/-9,242+/-7,1325+/-14,1168+/-9,441+/-7,234+/-8,1291+/-20,2.282+/-0.010
4,-25.555555555555557,1373+/-13,194+/-5,148+/-5,1405+/-26,1047+/-10,575+/-6,393.6+/-2.8,1166+/-11,2.043+/-0.007
5,-24.444444444444443,1478+/-29,124+/-5,87+/-4,1476+/-7,890+/-18,746+/-16,576+/-8,950+/-18,1.757+/-0.011
6,-23.333333333333332,1480+/-15,94+/-6,80.6+/-1.6,1463+/-12,741+/-11,844.8+/-3.5,708+/-10,765+/-8,1.554+/-0.006
7,-22.22222222222222,1476+/-8,96+/-5,94.4+/-3.2,1426+/-13,619+/-9,1001+/-20,890+/-10,627+/-4,1.337+/-0.009
8,-21.11111111111111,1410+/-11,154+/-5,157+/-4,1360+/-12,472+/-6,1143+/-12,1018+/-15,436+/-10,1.100+/-0.008
9,-20.0,1335+/-14,216+/-4,220+/-4,1292+/-9,340+/-9,1221+/-13,1145+/-19,314+/-8,0.908+/-0.008
