,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-25.0,1322+/-21,329+/-9,223+/-9,1319+/-13,214+/-5,1391+/-5,1258+/-9,268+/-8,0.767+/-0.007
1,-23.857142857142858,1149+/-20,464+/-10,362+/-11,1122+/-14,122.2+/-3.5,1490+/-25,1395+/-28,166+/-8,0.508+/-0.010
2,-22.714285714285715,995+/-11,588+/-12,514+/-11,985+/-16,56.8+/-3.5,1519+/-19,1434+/-24,84+/-4,0.303+/-0.009
3,-21.571428571428573,838+/-14,750+/-17,658+/-5,860+/-8,30.8+/-3.5,1522+/-27,1488+/-13,44.6+/-1.7,0.099+/-0.008
4,-20.42857142857143,679+/-9,916+/-8,807+/-16,707+/-8,42.4+/-2.7,1521+/-10,1495+/-19,40.8+/-3.2,-0.114+/-0.007
5,-19.285714285714285,536+/-9,1021+/-16,969+/-10,546+/-11,86+/-4,1473+/-10,1482+/-14,64+/-5,-0.313+/-0.008
6,-18.142857142857142,400+/-9,1195+/-14,1103+/-19,400+/-7,155+/-5,1370+/-8,1427+/-11,123+/-4,-0.536+/-0.008
7,-17.0,303+/-5,1234+/-12,1207+/-18,300+/-7,229+/-7,1293+/-15,1349+/-21,201+/-10,-0.693+/-0.009
