,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-22.0,112.4+/-2.7,1453+/-20,1481+/-25,159+/-7,1104+/-11,447+/-9,502+/-10,1119+/-16,1.1246+/-0.009
1,-21.36842105263158,148.2+/-2.5,1384+/-26,1428+/-27,195+/-6,1176+/-17,372+/-11,420+/-5,1240+/-10,0.9886+/-0.010
2,-20.736842105263158,209+/-4,1317+/-15,1356+/-11,239+/-6,1232+/-15,298+/-11,358+/-11,1279+/-20,0.8756+/-0.009
3,-20.105263157894736,268+/-7,1258+/-13,1339+/-16,326+/-11,1326+/-11,248+/-8,279+/-5,1343+/-11,0.7516+/-0.007
4,-19.473684210526315,301+/-6,1206+/-14,1241+/-21,355.8+/-2.8,1355+/-21,185+/-5,231+/-7,1421+/-16,0.6496+/-0.009
5,-18.842105263157894,381+/-8,1117+/-13,1199+/-25,436+/-9,1374+/-13,153+/-7,168.8+/-2.9,1430+/-13,0.5436+/-0.010
6,-18.210526315789473,450+/-14,1068+/-15,1152+/-24,497.4+/-3.1,1440+/-5,130.4+/-3.5,135+/-5,1437+/-19,0.4536+/-0.010
7,-17.578947368421055,528+/-15,992+/-11,1089+/-11,550+/-11,1485+/-16,95.0+/-1.7,98.4+/-2.4,1508+/-19,0.3436+/-0.008
8,-16.94736842105263,594+/-10,940.4+/-2.0,1023+/-12,619+/-21,1490+/-10,92.2+/-2.4,78.6+/-3.4,1506+/-25,0.2596+/-0.009
9,-16.315789473684212,697+/-11,843+/-15,965+/-14,694+/-11,1509+/-10,76.6+/-2.4,53.8+/-2.7,1513+/-13,0.1436+/-0.009
10,-15.68421052631579,725+/-19,776+/-11,839+/-14,782+/-10,1496+/-16,80.8+/-3.4,41.8+/-1.4,1505+/-20,0.0376+/-0.010
11,-15.05263157894737,797+/-13,696+/-7,788+/-7,815+/-15,1540+/-16,94+/-5,41.8+/-3.1,1502+/-11,-0.0446+/-0.008
12,-14.421052631578949,873+/-13,643+/-10,740+/-13,870+/-8,1521+/-10,109.0+/-3.1,45+/-4,1513+/-7,-0.1246+/-0.008
13,-13.789473684210527,920+/-13,602+/-8,675+/-7,945+/-10,1528+/-11,120+/-5,53+/-5,1519+/-19,-0.2016+/-0.007
14,-13.157894736842106,965+/-8,533+/-18,621+/-5,966+/-15,1465+/-20,130+/-4,59.0+/-1.9,1465+/-18,-0.2766+/-0.009
15,-12.526315789473685,1054+/-12,490+/-11,576+/-7,1059+/-12,1473+/-19,176.8+/-1.3,77+/-4,1453+/-17,-0.3736+/-0.008
16,-11.894736842105264,1087+/-13,447+/-7,508+/-6,1077+/-13,1452+/-21,186+/-5,88.2+/-1.8,1424+/-20,-0.4346+/-0.008
17,-11.263157894736842,1141+/-5,396+/-7,500+/-15,1148+/-18,1437+/-15,223+/-7,106+/-4,1399+/-14,-0.5066+/-0.009
18,-10.631578947368421,1195+/-15,372+/-12,430+/-8,1177+/-24,1411+/-17,243+/-5,146+/-4,1349+/-17,-0.5846+/-0.010
19,-10.0,1197+/-26,322.8+/-2.1,399+/-9,1230+/-14,1370+/-26,286+/-9,170+/-5,1375+/-13,-0.6396+/-0.011
