,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,1060+/-16,496+/-8,498+/-14,1088+/-12,115+/-4,1469+/-17,1413+/-16,155+/-4,0.416+/-0.009
1,-19.333333333333332,1022+/-13,571+/-11,575.4+/-3.1,1021+/-14,79+/-4,1450+/-17,1446+/-13,118+/-9,0.321+/-0.008
2,-18.666666666666668,904+/-10,654+/-9,646+/-8,955+/-14,69.4+/-1.9,1506+/-19,1494+/-13,94+/-5,0.195+/-0.007
3,-18.0,865+/-13,727+/-14,725+/-17,844+/-11,61+/-5,1486+/-16,1487+/-21,79+/-4,0.090+/-0.010
4,-17.333333333333332,746+/-10,790+/-13,804+/-5,806+/-9,66+/-4,1526+/-7,1484+/-17,85+/-4,-0.015+/-0.007
5,-16.666666666666668,662+/-11,879+/-11,883+/-13,708+/-9,77+/-5,1515+/-16,1485+/-16,83+/-6,-0.138+/-0.008
6,-16.0,601+/-9,965+/-12,959+/-11,635+/-10,99.0+/-3.1,1493+/-8,1460+/-14,91.0+/-0.8,-0.244+/-0.007
7,-15.333333333333334,530+/-10,1046+/-20,1006+/-10,562+/-9,128+/-4,1442+/-26,1473+/-30,106+/-4,-0.343+/-0.010
8,-14.666666666666668,460+/-4,1080+/-15,1066+/-7,493+/-5,151+/-6,1434+/-20,1438+/-9,143.0+/-3.5,-0.434+/-0.006
9,-14.0,407.2+/-3.4,1168+/-12,1139+/-16,468+/-7,190+/-6,1442+/-22,1394+/-11,152.4+/-3.3,-0.521+/-0.008
