,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,350+/-9,1164+/-12,1247+/-11,367.4+/-2.3,1387+/-14,176+/-7,212+/-7,1421+/-14,0.609+/-0.007
1,-19.0,471+/-17,1084+/-28,1190+/-13,469+/-8,1468+/-18,127+/-4,145+/-4,1461+/-9,0.465+/-0.011
2,-18.0,595+/-10,930+/-11,1042+/-23,605+/-9,1493+/-11,89+/-4,92.0+/-3.2,1448+/-15,0.272+/-0.010
3,-17.0,704.0+/-3.3,799+/-11,919+/-5,672+/-14,1498+/-15,70+/-5,58+/-4,1464+/-25,0.119+/-0.007
4,-16.0,809+/-15,713+/-17,797+/-10,794+/-9,1525+/-18,85+/-5,52.4+/-1.7,1502+/-19,-0.032+/-0.009
5,-15.0,939+/-17,591+/-14,742+/-12,930+/-4,1473+/-14,105+/-6,58.0+/-2.7,1487+/-12,-0.189+/-0.009
6,-14.0,1019+/-12,511+/-7,637+/-9,1006+/-7,1485+/-21,134+/-7,76+/-4,1456+/-17,-0.310+/-0.007
7,-13.0,1078+/-17,417+/-9,541+/-8,1063+/-17,1433+/-15,177+/-10,103+/-4,1380+/-19,-0.436+/-0.010
8,-12.0,1211+/-14,363+/-11,487+/-10,1133+/-14,1408+/-7,229+/-4,134+/-4,1376+/-12,-0.552+/-0.008
9,-11.0,1277+/-12,308+/-9,390+/-7,1247+/-20,1371+/-22,294+/-8,189+/-5,1354+/-26,-0.683+/-0.010
10,-10.0,1341+/-22,235+/-5,326+/-8,1296+/-9,1283+/-20,333+/-12,235+/-5,1278+/-8,-0.805+/-0.009
11,-9.0,1364+/-15,187+/-4,285+/-12,1288+/-13,1259+/-7,402+/-11,262+/-6,1207+/-27,-0.879+/-0.010
12,-8.0,1401+/-19,165+/-8,244+/-8,1376+/-10,1199+/-16,426+/-11,316+/-6,1160+/-13,-0.971+/-0.008
13,-7.0,1407+/-16,133+/-6,234+/-9,1363+/-16,1169+/-26,484+/-15,359+/-10,1118+/-10,-1.029+/-0.011
14,-6.0,1440+/-13,117.4+/-2.2,207+/-6,1425+/-9,1132+/-12,531+/-19,426+/-7,1107+/-12,-1.103+/-0.009
15,-5.0,1454+/-16,115.2+/-1.9,180+/-4,1406+/-20,1095+/-16,555+/-10,442+/-8,1043+/-6,-1.152+/-0.008
16,-4.0,1497+/-16,93.0+/-2.4,166+/-6,1425+/-18,1041+/-15,593+/-13,485+/-6,1021+/-12,-1.216+/-0.009
17,-3.0,1488+/-12,84.6+/-0.9,151+/-4,1428+/-21,1032+/-17,636+/-12,494+/-11,948+/-14,-1.263+/-0.010
18,-2.0,1505+/-22,87.4+/-3.5,138+/-5,1415+/-17,1014+/-13,656+/-12,516+/-7,973+/-17,-1.277+/-0.009
19,-1.0,1507+/-10,87.2+/-3.1,137+/-6,1427+/-22,1011+/-4,660+/-14,510+/-5,948+/-16,-1.287+/-0.008
