file,acc,N_correct,N_total
hurwitz_True_4400000_b0_method_0.csv,0.2759802675577031,223666,810442
hurwitz_True_4400000_b0_method_1.csv,0.2690087713402339,128074,476096
hurwitz_True_4400000_b0_method_2.csv,0.27315753887762,195132,714357
