,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,225+/-5,1017+/-6,1071+/-6,250.0+/-3.0,214+/-4,226+/-5,1085.9+/-2.7,1037+/-6,-0.764+/-0.004
1,-26.0,114.8+/-2.1,1139+/-8,1179+/-16,125.6+/-3.1,352+/-5,351+/-4,946+/-7,920+/-6,-1.060+/-0.005
2,-25.0,47.3+/-1.0,1189+/-10,1253.9+/-3.0,58.5+/-1.4,510+/-5,508+/-7,791+/-5,767+/-5,-1.344+/-0.005
3,-24.0,26.6+/-0.8,1241+/-7,1260+/-7,32.6+/-1.4,644+/-7,643+/-8,633+/-10,619+/-5,-1.585+/-0.006
4,-23.0,41.2+/-2.3,1211+/-7,1242+/-6,44.5+/-0.7,815+/-11,783+/-7,482+/-5,458.1+/-3.3,-1.842+/-0.006
