,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,240+/-5,1006+/-8,1009+/-9,248+/-8,185+/-5,170+/-4,1073+/-6,1038+/-5,-0.716+/-0.006
1,-26.0,126.5+/-2.7,1113+/-9,1137+/-12,120.7+/-2.4,325.9+/-2.8,294+/-6,958+/-10,920+/-8,-1.010+/-0.006
2,-25.0,63.7+/-2.1,1178.9+/-2.2,1178+/-9,59.4+/-1.8,490+/-8,437+/-6,796+/-4,766+/-9,-1.294+/-0.006
3,-24.0,47.8+/-1.1,1184+/-13,1215+/-12,31.8+/-2.0,627+/-4,564+/-6,643+/-6,624+/-5,-1.538+/-0.005
4,-23.0,62.0+/-1.2,1187+/-12,1226+/-10,46.7+/-1.0,776+/-10,718+/-5,489+/-4,484+/-4,-1.793+/-0.006
