,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,307.3+/-2.9,955+/-6,960.8+/-3.1,282+/-4,171.3+/-2.5,129.2+/-3.3,1083+/-10,1056+/-6,-0.625+/-0.005
1,-26.0,192.8+/-1.1,1078.5+/-1.3,1074+/-6,169+/-4,298+/-4,249+/-4,960+/-6,939+/-8,-0.925+/-0.005
2,-25.0,130.3+/-2.1,1123+/-15,1136+/-11,102.5+/-1.7,432+/-4,377+/-5,828+/-10,797+/-10,-1.188+/-0.007
3,-24.0,100.0+/-2.7,1157+/-8,1156+/-8,69.0+/-2.2,578+/-4,505+/-5,678+/-6,672+/-5,-1.447+/-0.005
4,-23.0,109+/-4,1151+/-9,1172+/-6,75.2+/-3.2,711+/-11,627+/-6,538+/-6,534.5+/-2.9,-1.694+/-0.007
