,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,376.2+/-3.5,843+/-8,816+/-10,352+/-7,245+/-4,165.6+/-2.1,960+/-8,937+/-11,-0.560+/-0.008
1,-26.0,300+/-5,951+/-9,922+/-5,270+/-6,337+/-4,251+/-5,888+/-7,841+/-8,-0.852+/-0.007
2,-25.0,261+/-4,992+/-12,976+/-13,216+/-5,435+/-7,352+/-4,773+/-6,762+/-4,-1.106+/-0.008
3,-24.0,243.3+/-2.7,999+/-10,1005+/-5,192.5+/-2.6,541.5+/-2.7,456+/-7,666+/-4,649+/-8,-1.371+/-0.007
4,-23.0,249.1+/-2.8,1018.2+/-2.2,995+/-10,190+/-7,645+/-8,545+/-7,573+/-5,553+/-7,-1.611+/-0.009
