,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,265.8+/-2.5,994+/-6,1018+/-4,291.5+/-1.8,151+/-4,148.1+/-3.4,1137+/-10,1098+/-7,-0.644+/-0.004
1,-26.5,206.6+/-2.8,1052+/-4,1072+/-12,214+/-4,219+/-5,205+/-5,1095+/-13,1050+/-6,-0.780+/-0.006
2,-26.0,142.6+/-2.4,1121+/-15,1132+/-10,151.8+/-2.5,285+/-4,268+/-4,996+/-14,968+/-5,-0.947+/-0.007
3,-25.5,101.0+/-2.8,1157+/-4,1161+/-9,102.1+/-2.8,354+/-7,337+/-6,922+/-8,896+/-5,-1.081+/-0.005
4,-25.0,70.3+/-2.6,1195+/-6,1213+/-11,67.5+/-2.5,429.9+/-2.3,402+/-4,855+/-6,829+/-7,-1.212+/-0.004
