C_UV_HWP angle (degrees),VV rate (counts/sec),VV rate SEM (counts/sec)
41.98158482142857,58.52,1.2043255373859674
42.652064732142854,53.839999999999996,1.7197674261364528
43.32254464285714,50.839999999999996,1.6975276139138349
43.99051339285714,48.72,1.632911510156016
44.655970982142854,55.999999999999986,0.9549869109050645
45.32645089285714,65.32000000000001,1.7917589123540043
45.986886160714285,75.32000000000001,1.6082288394379696
46.65736607142857,87.75999999999999,1.2496399481450637
47.31529017857143,106.88,2.080961316315131
47.978236607142854,129.92000000000002,2.000599910026989
