C_UV_HWP angle (degrees),VV rate (counts/sec),VV rate SEM (counts/sec)
41.994140625,59.67999999999999,1.3749181793837761
42.65708705357143,55.4,0.723878442834154
43.320033482142854,53.52,1.3455110553243326
43.98549107142857,51.8,1.0353743284435826
44.655970982142854,55.88000000000001,2.179541236132044
45.331473214285715,64.6,1.8297540818372293
45.986886160714285,75.75999999999999,2.2094343167426347
46.65234375,88.12,1.9106019993708787
47.322823660714285,108.67999999999999,2.0372530525194956
47.985770089285715,125.28,1.3705473359209446
