,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,509+/-4,726+/-8,701+/-6,454+/-7,316+/-4,227+/-4,867+/-10,850+/-5,-0.376+/-0.010
1,-26.0,447+/-4,795+/-6,784+/-6,395.9+/-3.4,379+/-5,288+/-7,820+/-5,804+/-4,-0.656+/-0.009
2,-25.0,418+/-4,833+/-12,803+/-4,369+/-5,433+/-7,339+/-5,768+/-10,747+/-10,-0.852+/-0.014
3,-24.0,401+/-6,848+/-8,825+/-8,332+/-5,497+/-5,392+/-4,696+/-4,688+/-5,-1.086+/-0.010
4,-23.0,389.9+/-3.4,857+/-8,841+/-6,340+/-8,569+/-6,470+/-8,625+/-7,615+/-5,-1.366+/-0.013
