,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,293.5+/-2.3,944+/-11,939+/-6,281.9+/-2.5,205+/-4,153.4+/-3.0,1029+/-7,999+/-13,-0.664+/-0.007
1,-26.0,198.5+/-2.9,1031+/-9,1062+/-8,176.4+/-1.7,324+/-8,249.8+/-1.7,931+/-9,883+/-9,-0.945+/-0.007
2,-25.0,137.9+/-2.9,1115+/-9,1107+/-7,109.5+/-1.7,453+/-5,389+/-6,792+/-9,753+/-9,-1.229+/-0.007
3,-24.0,117.3+/-2.1,1133+/-12,1138+/-8,82.1+/-1.9,577+/-4,503+/-5,652+/-9,639+/-7,-1.470+/-0.006
4,-23.0,131.3+/-3.1,1110+/-14,1125+/-11,98.5+/-1.4,724+/-4,630.8+/-3.0,515+/-7,503+/-5,-1.737+/-0.005
