,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,485.4+/-2.0,764+/-7,741+/-8,439+/-11,298+/-5,205.8+/-2.1,919+/-6,887+/-11,-0.419+/-0.010
1,-26.0,427+/-6,834+/-9,815+/-6,359.3+/-2.9,365+/-6,268.9+/-3.3,837+/-4,834+/-6,-0.694+/-0.009
2,-25.0,383+/-7,870+/-6,859+/-12,326+/-5,441+/-6,335.7+/-2.4,765+/-4,775+/-10,-0.929+/-0.011
3,-24.0,364.1+/-2.7,898+/-6,894+/-6,303+/-7,513+/-6,410.1+/-0.9,682+/-8,694.1+/-3.5,-1.187+/-0.009
4,-23.0,371+/-4,900+/-8,896+/-9,293+/-4,591+/-6,478+/-6,619+/-5,623+/-5,-1.420+/-0.010
