,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,481+/-6,767+/-5,759.2+/-2.4,423+/-7,279+/-4,191+/-5,921+/-10,895+/-4,-0.433+/-0.007
1,-26.5,438+/-9,799+/-9,799+/-9,385+/-5,307+/-5,228.7+/-3.5,883+/-8,861+/-9,-0.570+/-0.011
2,-26.0,420+/-5,840+/-6,815+/-7,355+/-9,356+/-5,256.3+/-2.8,855+/-4,825+/-8,-0.689+/-0.009
3,-25.5,384+/-5,864+/-7,861+/-8,330+/-5,384+/-4,296.6+/-3.1,812.3+/-2.7,791+/-5,-0.832+/-0.007
4,-25.0,361.1+/-2.1,888+/-7,859+/-7,300+/-4,427+/-6,335.9+/-3.5,762+/-6,763+/-7,-0.959+/-0.008
