,rand,xgbr_test,xgbr_train,xgbc_test,xgbc_train
0,49.0,0.9788061442737702,1.0,0.972924363212133,1.0
1,98.0,0.9802644370989695,1.0,0.9760353879058915,1.0
2,78.0,0.9793894614038499,0.9999878474121064,0.9762298269492514,1.0
3,50.0,0.9782228271436905,1.0,0.9736535096247326,0.9999878474121064
4,7.0,0.97909780283881,1.0,0.9749659731674121,0.9999878474121064
5,17.0,0.9799727785339296,1.0,0.9755006805366517,1.0
6,75.0,0.9789519735562902,1.0,0.9751118024499319,1.0
7,53.0,0.9781256076220105,1.0,0.9740909974722924,1.0
8,38.0,0.9786117052304103,1.0,0.9738965584289325,1.0
9,53.0,0.9781256076220105,1.0,0.9740909974722924,1.0
10,69.0,0.9795839004472098,1.0,0.9751118024499319,1.0
11,72.0,0.9819171689675287,1.0,0.9771048026443709,1.0
12,33.0,0.9791950223604899,1.0,0.9755979000583317,1.0
13,24.0,0.9780769978611705,1.0,0.9740909974722924,1.0
14,29.0,0.9786117052304103,1.0,0.9727785339296131,1.0
15,1.0,0.97914641259965,1.0,0.9757437293408516,1.0
16,43.0,0.9797783394905697,1.0,0.9741396072331324,1.0
17,13.0,0.97904919307797,1.0,0.9748201438848921,1.0
18,3.0,0.9785630954695703,1.0,0.9744798755590123,0.9999878474121064
19,34.0,0.97900058331713,0.9999878474121064,0.977007583122691,1.0
20,11.0,0.9805074859031694,1.0,0.9759381683842115,1.0
21,9.0,0.9788547540346102,1.0,0.9746257048415322,1.0
22,46.0,0.9794866809255298,1.0,0.9735562901030527,1.0
23,35.0,0.9769103636010111,1.0,0.9747715341240522,1.0
24,61.0,0.9786603149912503,1.0,0.9747715341240522,1.0
25,27.0,0.9779797783394906,1.0,0.9716605094302936,1.0
26,66.0,0.9785630954695703,1.0,0.9760839976667315,1.0
27,9.0,0.9788547540346102,1.0,0.9746257048415322,1.0
28,30.0,0.9801672175772895,0.9999878474121064,0.9752576317324518,1.0
29,91.0,0.9792436321213299,1.0,0.9749659731674121,1.0
30,47.0,0.9802158273381295,0.9999878474121064,0.9772020221660509,1.0
31,10.0,0.9772506319268909,1.0,0.9725354851254132,1.0
32,91.0,0.9792436321213299,1.0,0.9749659731674121,1.0
33,32.0,0.9812852420766089,1.0,0.9771048026443709,0.9999878474121064
34,14.0,0.9805560956640094,1.0,0.9747229243632122,1.0
35,82.0,0.9787089247520903,1.0,0.9754520707758118,1.0
36,75.0,0.9789519735562902,1.0,0.9751118024499319,1.0
37,60.0,0.9795352906863698,1.0,0.9746257048415322,1.0
38,61.0,0.9786603149912503,1.0,0.9747715341240522,1.0
39,47.0,0.9802158273381295,0.9999878474121064,0.9772020221660509,1.0
40,54.0,0.97904919307797,1.0,0.9752090219716119,1.0
41,6.0,0.9776881197744507,1.0,0.9717577289519735,1.0
42,76.0,0.9788547540346102,1.0,0.9739451681897725,1.0
43,60.0,0.9795352906863698,1.0,0.9746257048415322,1.0
44,31.0,0.9796811199688897,1.0,0.9781742173828505,1.0
45,55.0,0.9782228271436905,1.0,0.9742854365156524,1.0
46,74.0,0.9804102663814894,1.0,0.9763270464709314,1.0
47,56.0,0.9801186078164495,1.0,0.9741396072331324,1.0
48,7.0,0.97909780283881,1.0,0.9749659731674121,0.9999878474121064
49,3.0,0.9785630954695703,1.0,0.9744798755590123,0.9999878474121064
