,lr,xgbr_test_mean,xgbr_test_sem,xgbr_train_mean,xgbr_train_sem,xgbc_test_mean,xgbc_test_sem,xgbc_train_mean,xgbc_train_sem
0,0.0001,0.7207369239743341,,0.718655437675453,,0.6930293602955473,,0.6891368016819182,
1,0.001,0.7849990278047833,,0.7892619733372221,,0.7323546568150885,,0.7378686791352218,
2,0.01,0.8409002527707564,,0.8539380461069185,,0.7788255881781062,,0.7936004472152345,
3,0.1,0.9429807505347074,,0.9796444152782335,,0.8970445265409294,,0.9462855615103236,
4,0.3,0.9774936807310908,,0.9997083378905538,,0.9730701924946529,,0.9994895913084691,
5,0.5,0.9798755590122497,,1.0,,0.9762298269492514,,1.0,
6,0.6,0.9784658759478904,,1.0,,0.9761326074275715,,1.0,
7,0.7,0.9775422904919308,,1.0,,0.9754034610149718,,1.0,
8,0.8,0.9765700952751313,,1.0,,0.9760839976667315,,1.0,
9,0.9,0.9757437293408516,,1.0,,0.9763270464709314,,1.0,
