,M,lr,xgbr_test_mean,xgbr_test_sem,xgbr_train_mean,xgbr_train_sem,xgbc_test_mean,xgbc_test_sem,xgbc_train_mean,xgbc_train_sem
0,500.0,0.0001,0.7090316935640677,0.0027895989368547846,0.713468713162468,0.0026972569588529513,0.683599066692592,0.0036150435641524943,0.6867281587614082,0.004355436299847996
1,500.0,0.001,0.7586330935251798,0.000914018628160308,0.763690497891526,0.0004657375262927659,0.7182578261714951,0.0017062649245512885,0.7225248216607727,0.0008319740132638494
2,500.0,0.01,0.8245770950806921,0.0007345383628935437,0.8345911261803203,0.0007113469338951855,0.7616566206494264,0.0012374406856306042,0.7712421160086039,0.0006290816204511559
3,500.0,0.1,0.9012541318296714,0.0008769448751030045,0.9345704667809009,0.0006561497209093734,0.8423391016916197,0.0008080925005761777,0.8798570855663714,0.00038392177476949873
4,500.0,0.3,0.9613746840365545,0.0008372458056750948,0.9940355098618252,0.00020190858265281035,0.9351156912307991,0.0011326595827663728,0.9830131126423373,0.0005210385743208457
5,500.0,0.5,0.9724674314602371,0.0007775434766523365,0.9988552262204238,3.4458533860169804e-05,0.9672078553373517,0.00039925158853550656,0.9981989864741697,5.316670398538982e-05
6,500.0,0.6,0.9743632121329963,0.0006717299113406432,0.9993704959471119,3.467216599873638e-05,0.9733812949640287,0.0005071747798278338,0.9995211880369925,3.930380650355666e-05
7,500.0,0.7,0.9753937390628039,0.0005924411197904395,0.9996597275389794,1.6751186398938273e-05,0.9756270659148358,0.00038845251845240526,0.9999222234374809,8.242286124334835e-06
8,500.0,0.8,0.9754131829671397,0.00040999675061169854,0.9997812534179153,3.098314140503479e-05,0.9746840365545401,0.00034863739212601076,0.9999878474121064,3.842985720919616e-06
9,500.0,0.9,0.9741298852809643,0.0006578321416525324,0.9998468773925409,2.1942068717147543e-05,0.9748006999805561,0.0006072524639410085,0.9999927084472638,7.291552736155004e-06
10,800.0,0.0001,0.7153898502819367,0.0022766811043688907,0.7197272959276678,0.0026838362366475494,0.6904530429710285,0.002226889490124698,0.6930475044660761,0.0033416775090563114
11,800.0,0.001,0.77497569511958,0.0010664720086992574,0.781425984663434,0.000364058757147123,0.7288353101302741,0.0012074022707571496,0.7320840472978721,0.0008463036382191122
12,800.0,0.01,0.8354754034610151,0.0005444727212500925,0.8475482153924678,0.00041077544761104984,0.7750340268325879,0.0011367826746895007,0.7874609598113917,0.000874930627204476
13,800.0,0.1,0.9296616760645537,0.0009140703304330532,0.9673654404705483,0.00022221630867272487,0.8774061831615787,0.0007096026181637114,0.9249237425109677,0.000493601559399777
14,800.0,0.3,0.9759090025277075,0.0008899171477187697,0.9991639019529209,5.896197197957737e-05,0.9674995139023916,0.0007174840220002481,0.9978708666010426,0.00012484677138661633
15,800.0,0.5,0.9776589539179467,0.0006872051822746276,0.9999732643066341,2.430517578710933e-06,0.9753645732062999,0.00034420379092165126,0.9999951389648427,2.9767639393533184e-06
16,800.0,0.6,0.9772700758312268,0.0007381004431694436,0.9999854168945278,5.953527878727033e-06,0.9759576122885477,0.0003281068837387935,1.0,0.0
17,800.0,0.7,0.976706202605483,0.0004886187778778606,1.0,0.0,0.9761326074275715,0.00021684530452262005,1.0,0.0
18,800.0,0.8,0.9764923196577872,0.0005466383201298442,1.0,0.0,0.9752770756367879,0.0003355834259010867,1.0,0.0
19,800.0,0.9,0.9746937585067081,0.0005657558065761864,1.0,0.0,0.974868753645732,0.00046268730446396357,0.9999927084472638,7.291552736155004e-06
20,1100.0,0.0001,0.718588372545207,0.0030879405572783757,0.72292828757884,0.0031985362003751627,0.6930099163912113,0.0026006267479030884,0.6961415533437847,0.004130324059654705
21,1100.0,0.001,0.7847170911919112,0.0013131295074784897,0.79135221845492,0.0011536000485094131,0.7358740034999027,0.0012681093195071212,0.7386391532076756,0.0009410969086526754
22,1100.0,0.01,0.843700174995139,0.0006043270568897522,0.8571584818987203,0.0002737166411109588,0.7858448376433987,0.0010953495319428691,0.799749656689392,0.0006902948058172562
23,1100.0,0.1,0.9483181022749368,0.0008850981865142765,0.9844009381797854,0.00017115745516506229,0.906173439626677,0.00131797906326118,0.9568996317765869,0.0006046886437692312
24,1100.0,0.3,0.978845032082442,0.000684932057115532,0.9998881961913788,7.086115540536799e-06,0.975209021971612,0.0003676389344971632,0.9997739618651792,2.6790875454254902e-05
25,1100.0,0.5,0.9777950612482987,0.0007248235326400575,1.0,0.0,0.9755298463931558,0.0004483179972844229,1.0,0.0
26,1100.0,0.6,0.977153412405211,0.0008006604590660915,1.0,0.0,0.9757728951973557,0.0003428969879165581,1.0,0.0
27,1100.0,0.7,0.9766284269881392,0.0004480016491345105,1.0,0.0,0.9760937196188995,0.00019285275544311171,1.0,0.0
28,1100.0,0.8,0.9765895391794672,0.0006906350557587799,1.0,0.0,0.9752770756367879,0.0003355834259010867,1.0,0.0
29,1100.0,0.9,0.9748881975500681,0.0005874746517708005,1.0,0.0,0.974868753645732,0.00046268730446396357,0.9999927084472638,7.291552736155004e-06
30,1500.0,0.0001,0.7224479875559012,0.0039023194236379455,0.7275608540838772,0.003257608575170469,0.6957028971417459,0.002227101696099082,0.6989949809811999,0.003419940770390613
31,1500.0,0.001,0.7937779506124831,0.0013071959161444747,0.8007704740724538,0.0003067415256678887,0.7419016138440598,0.0017950499382796857,0.7456900847035376,0.0004238379454877309
32,1500.0,0.01,0.8520610538596148,0.0005196017369847446,0.8675124867840609,0.00042389717747198357,0.7942446043165468,0.0011818671401432569,0.8121477268584346,0.0009389901326683382
33,1500.0,0.1,0.9643301574956251,0.0006120584685369112,0.994596959422509,0.0001778019547727468,0.9321991055804005,0.0008190997122220551,0.9797270528759098,0.0004021092825803304
34,1500.0,0.3,0.979272797977834,0.0006651904321686423,0.9999951389648427,2.9767639393533184e-06,0.9763659342796034,0.00051337983307537,1.0,0.0
35,1500.0,0.5,0.9779214466264825,0.0006195408892224325,1.0,0.0,0.9755298463931558,0.0004483179972844229,1.0,0.0
36,1500.0,0.6,0.9772409099747229,0.0007164623635190599,1.0,0.0,0.9757728951973557,0.0003428969879165581,1.0,0.0
37,1500.0,0.7,0.9767256465098193,0.000530136188625637,1.0,0.0,0.9760937196188995,0.00019285275544311171,1.0,0.0
38,1500.0,0.8,0.9764145440404434,0.000701632688508692,1.0,0.0,0.9752770756367879,0.0003355834259010867,1.0,0.0
39,1500.0,0.9,0.974936807310908,0.0006314780260180906,1.0,0.0,0.974868753645732,0.00046268730446396357,0.9999927084472638,7.291552736155004e-06
40,2000.0,0.0001,0.7272506319268909,0.004472837649863187,0.7325750118487732,0.0033178269829203864,0.7010110830254714,0.0038623016933519243,0.7041355256601893,0.0039020735365109
41,2000.0,0.001,0.8010499708341434,0.0010684642161846458,0.8081665390644938,0.00034067586142705184,0.7463542679370017,0.0011315742597061843,0.7514018010135258,0.0008442646924997526
42,2000.0,0.01,0.8595664009333074,0.0004046598364430767,0.877599134735742,0.0004778301129300429,0.8025665953723508,0.0009255788633413855,0.8245142002989537,0.000610979136736851
43,2000.0,0.1,0.9741687730896362,0.0006316650918236597,0.9983545395992077,3.4714734665473056e-05,0.954160995527902,0.0004807207977863507,0.9926039350079598,0.00013052580924908166
44,2000.0,0.3,0.9790783589344741,0.00046487809511978645,1.0,0.0,0.9765409294186274,0.00043629799090641404,1.0,0.0
45,2000.0,0.5,0.9777172856309546,0.0006569695048810727,1.0,0.0,0.9755298463931558,0.0004483179972844229,1.0,0.0
46,2000.0,0.6,0.9771728563095469,0.0006851390164969347,1.0,0.0,0.9757728951973557,0.0003428969879165581,1.0,0.0
47,2000.0,0.7,0.9767256465098191,0.0004984337833407997,1.0,0.0,0.9760937196188995,0.00019285275544311171,1.0,0.0
48,2000.0,0.8,0.9763853781839394,0.0006845869857766331,1.0,0.0,0.9752770756367879,0.0003355834259010867,1.0,0.0
49,2000.0,0.9,0.974917363406572,0.000684345332311023,1.0,0.0,0.974868753645732,0.00046268730446396357,0.9999927084472638,7.291552736155004e-06
