,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-6.869130345394736,176+/-4,1159+/-9,1184+/-5,177+/-5,295+/-5,275+/-4,1082+/-10,1040+/-11,-0.908+/-0.006
1,-5.869130345394736,135.0+/-2.7,1211+/-9,1224+/-8,143.9+/-2.4,334+/-4,322+/-6,1028+/-10,994+/-12,-1.006+/-0.006
2,-4.869130345394736,107.9+/-3.1,1203+/-7,1246+/-10,123.1+/-2.4,377.2+/-2.7,346+/-5,1004+/-11,971+/-11,-1.057+/-0.006
3,-3.869130345394736,104.9+/-1.7,1213+/-4,1251+/-10,106.0+/-1.1,393+/-4,367+/-6,957+/-9,925+/-7,-1.109+/-0.005
4,-2.869130345394736,95.7+/-1.5,1219+/-6,1250+/-12,98.7+/-1.1,423.1+/-1.9,392.5+/-2.9,950+/-12,909+/-10,-1.141+/-0.006
