,UVHWP,QP,HA,VD,Theo Chi,Chi
0,-128.59918009,-24.251088513826073,[2202.2+/-6.29560693393944],[153.3666666666667+/-3.5358795856822436],0.31495926535897933,[0.5160326685542403+/-0.005731631919109003]
1,-124.24155098,-25.20815734863281,[1995.5333333333335+/-11.086408094799866],[397.5+/-3.7830322934563156],0.6289185307179587,[0.8395663795257885+/-0.004101369832115942]
2,-119.93580218,-25.603982222707646,[1710.8666666666668+/-6.601144681879869],[719.5+/-5.63956263079564],0.942877796076938,[1.150634432365169+/-0.003988245120432834]
3,-115.58783425,-25.831407406455597,[1362.6333333333334+/-4.766946378739512],[1117.6666666666667+/-5.179875588381558],1.2568370614359172,[1.4718701162170411+/-0.0028891367205163406]
4,-111.16360422,-26.00327309056332,[1022.9333333333333+/-11.554931607086422],[1529.5666666666666+/-6.96590107436057],1.5707963267948966,[1.7706083987401002+/-0.00596852942672051]
