time (min),HH,HH_err,VV,VV_err,pct HH,pct HH err
0,1543.1333333333332,9.609678846079035,1569.4833333333333,7.243677924942984,49.576722693125284,0.19376677052048685
4,1559.6999999999998,6.328251291377393,1590.8833333333334,9.45931409175076,49.50511809982278,0.17994145173687442
8,1560.4166666666665,8.152469732657822,1593.4166666666665,8.591832336180174,49.47682714157375,0.18768005867827445
12,1569.0333333333333,7.0551265823465,1599.7833333333333,6.490173531959786,49.51480310736395,0.151389241691674
16,1557.2666666666667,8.424290041377002,1614.6833333333334,4.413291275860791,49.09493108865735,0.15147382863172446
20,1551.85,6.960294230031307,1612.8000000000002,8.254825401842806,49.03701831166163,0.1700725818511291
24,1565.6333333333332,9.520815405011437,1614.4833333333333,8.906938545298665,49.231946417060165,0.20522008077603518
28,1550.85,3.0593947568494295,1621.55,7.5706726681283,48.88570167696382,0.1266483717121519
32,1555.9166666666667,9.201777203972583,1623.35,8.187562413738025,48.939482899620465,0.19422895418395206
36,1547.9833333333336,7.026106470731819,1611.5666666666666,7.184652915155998,48.99379130994394,0.15898897508803547
40,1554.05,7.579308907315901,1617.0166666666669,5.561349124775382,49.00716898625068,0.149136879734732
44,1547.6499999999999,5.118097109558176,1617.7333333333333,6.664824876363526,48.89297241513666,0.13200891995687483
48,1551.583333333333,7.310275303273557,1617.1999999999998,6.150907615820791,48.964639425226295,0.15131263395217825
52,1542.1833333333334,5.501653190349686,1629.6833333333334,7.52626512251766,48.620686031359035,0.14578015835178773
56,1536.1833333333334,9.452233270160322,1620.6500000000005,5.4540321150985935,48.66216144870914,0.17520572600857143
60,1539.1833333333334,4.090547962015037,1614.0499999999997,6.906407708123285,48.81285875873443,0.1258559085771169
64,1542.9499999999998,8.61943414973951,1624.166666666667,7.627894203166767,48.71781378435695,0.18233585794073495
68,1542.8166666666666,6.438350828555357,1622.9,6.379038357728211,48.735146859847426,0.14322792168253354
72,1535.1833333333334,9.098805951803953,1627.0666666666666,9.67261118279509,48.54718423063747,0.20968649179410676
76,1545.6666666666665,8.135100179133788,1629.083333333333,4.344180682272499,48.68624826101793,0.14740217285366267
80,1540.6833333333334,9.288344609653427,1627.4666666666667,4.924028647207763,48.63037840169605,0.16850687469592326
84,1537.25,7.839713962817372,1619.9,8.894769219784266,48.691066309804725,0.18721931056285776
88,1549.8833333333332,6.692385783110289,1637.1,7.520127775906993,48.63167363075845,0.15749287288218175
92,1555.9833333333336,6.824092187053123,1626.7,6.772740237601737,48.88904017050603,0.15110625296485286
96,1553.0,6.943181770174166,1625.8,6.9852202753468875,48.85491380395117,0.15493478057016352
100,1562.2666666666664,5.758512169203726,1631.1333333333332,6.270908775304008,48.921734410555096,0.13308940422992027
104,1556.6666666666665,6.4527330632023645,1621.783333333333,7.25715135103401,48.97565375156654,0.1524292269979398
108,1537.2333333333331,5.324835764545679,1619.7166666666667,6.294715302528905,48.69362306445567,0.13006020432362714
112,1542.7166666666665,7.4262980617562935,1618.05,6.743613387072681,48.808306001708445,0.15909213537616718
116,1537.55,8.94280548594521,1620.7166666666667,10.59835572387253,48.683349516612495,0.21863965702354796
120,1537.4,9.698393784533051,1618.7333333333333,6.626713718982484,48.711503527523135,0.18788058254638537
124,1538.1833333333334,6.212860096848313,1626.0333333333333,7.015958276764799,48.61182072445524,0.1476432456111323
128,1538.3333333333333,6.315717434812512,1626.5166666666667,6.918894717381103,48.606832340658585,0.1476826660346527
132,1536.4833333333331,5.314191102290529,1614.3333333333337,5.610820386627864,48.764606001618624,0.1225077679903287
136,1538.9,5.622397264723695,1626.833333333333,7.488066221199289,48.611169607884435,0.1468015780330703
140,1533.2666666666664,3.100651732549356,1617.0,8.894171808561595,48.671011977821976,0.1464060362736806
144,1535.7666666666669,8.474206580419303,1622.1833333333334,7.614769878491559,48.631760055310146,0.1809759641692471
148,1537.5499999999997,3.3718669203502754,1621.65,6.9112530327824455,48.66896682704481,0.1197399489771614
152,1532.416666666667,6.227028252999926,1627.4833333333331,7.8898595941648795,48.495732987330825,0.1579990992518824
156,1540.65,9.580639833997946,1633.7166666666665,7.798742156982831,48.53409078976384,0.19581951234490175
160,1530.0333333333333,7.146746751960319,1631.2333333333333,8.60239821763986,48.39937577764188,0.17593805066786233
164,1531.5333333333333,7.027332628938446,1629.066666666667,9.170468890799372,48.45704402117741,0.18138710301712244
168,1533.65,6.143612443361747,1627.7666666666664,6.208084003270775,48.51147955821494,0.13815393892731986
172,1525.683333333333,8.937881343496787,1619.4166666666667,3.641406344015506,48.50985130308521,0.15673564463731457
176,1535.2666666666667,6.561338616124872,1631.4,6.338036060623165,48.482105263157884,0.14425864286472467
180,1536.5,6.793756325005448,1637.95,7.270113142613408,48.402085400620585,0.1564666478395532
184,1541.3166666666666,7.177513983296133,1632.2166666666662,4.708427617118242,48.56784236287629,0.13683344099377898
188,1542.3999999999996,6.5943282138389625,1628.45,7.793392803674497,48.643108314805175,0.1603156386470002
192,1540.8,5.477445795543677,1630.4333333333334,9.545839803582673,48.586774861515494,0.17110152532329626
196,1546.3666666666668,4.83412889118061,1620.8,6.47614896602888,48.82492238067674,0.12676115248432604
200,1543.7666666666667,5.442116699321909,1637.3666666666668,3.6393692888688163,48.52882620449735,0.10409579597247703
204,1537.1999999999998,5.828216917052023,1633.1999999999998,7.151631623688417,48.48599545798637,0.14467296904051058
208,1543.0,3.9688822125230856,1629.216666666667,10.106587749448819,48.641065921306335,0.16776282755586774
212,1539.6333333333334,7.829830944438716,1640.1833333333334,8.290141737631481,48.41893400562926,0.17907169540909784
