start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s)
2023-06-12_11-04-27,2023-06-12_11-04-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25453.166666666668,28854.86666666667,0.0,13028.4,1532.3666666666668,0.0,13.4,0.0,26.230080272677505,26.683261503130563,0.0,29.28886022591741,5.6456276100280745,0.0,0.24221202832779934,0.0
2023-06-12_11-05-26,2023-06-12_11-05-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,25758.833333333332,29003.566666666666,0.0,12957.566666666666,1521.2333333333333,0.0,12.066666666666665,0.0,30.783606748470046,17.903699183253863,0.0,22.930760514596326,5.647280564818582,0.0,0.5947922139518792,0.0
2023-06-12_11-06-27,2023-06-12_11-06-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25609.466666666664,28893.8,0.0,13013.1,1529.466666666667,0.0,14.766666666666667,0.0,26.529061632690794,28.5172696215235,0.0,11.88867808743545,7.098669671925217,0.0,0.6312245594433447,0.0
2023-06-12_11-07-26,2023-06-12_11-07-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,25786.100000000002,28990.033333333336,0.0,12982.266666666665,1538.2333333333333,0.0,12.899999999999999,0.0,28.37612846507917,15.89670126507745,0.0,10.981398413276445,11.947263749960122,0.0,0.9794556311203347,0.0
2023-06-12_11-08-28,2023-06-12_11-08-58,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25594.600000000002,28930.93333333333,0.0,13073.066666666668,1521.4333333333334,0.0,13.4,0.0,32.92950045172275,21.771520643058054,0.0,20.638195442216084,5.785595138886852,0.0,0.21908902300206656,0.0
2023-06-12_11-09-26,2023-06-12_11-09-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,25846.466666666664,29100.3,0.0,12973.466666666667,1537.9000000000003,0.0,13.633333333333333,0.0,20.007909547087905,29.197431393874506,0.0,20.97145149429997,6.784836033390942,0.0,0.46019319614459514,0.0
2023-06-12_11-10-27,2023-06-12_11-10-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25626.466666666664,28988.766666666666,0.0,13060.933333333334,1537.3666666666668,0.0,13.499999999999998,0.0,21.448771008563032,28.03366626833606,0.0,26.67416561227571,4.817583534419624,0.0,0.3890158522905378,0.0
2023-06-12_11-11-26,2023-06-12_11-11-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,25899.43333333333,29170.366666666665,0.0,12962.0,1548.3333333333333,0.0,13.199999999999998,0.0,39.80791936844285,30.048690117503625,0.0,8.833421383209023,4.974244777964914,0.0,0.6408327915038889,0.0
2023-06-12_11-12-27,2023-06-12_11-12-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25665.933333333334,28978.63333333333,0.0,13104.300000000001,1531.2666666666667,0.0,13.233333333333334,0.0,33.07388362103525,12.322707134031251,0.0,22.377592959625098,7.82179291751223,0.0,0.32006943691087475,0.0
2023-06-12_11-13-26,2023-06-12_11-13-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26033.666666666668,29215.63333333333,0.0,12994.800000000001,1567.3333333333333,0.0,11.733333333333334,0.0,16.629665594285953,16.48493588434949,0.0,12.829549225648394,8.54551214250953,0.0,0.46951511631090714,0.0
2023-06-12_11-14-27,2023-06-12_11-14-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25724.533333333336,28957.833333333332,0.0,13120.233333333335,1540.6000000000004,0.0,14.433333333333332,0.0,29.185277871633325,17.713830127270153,0.0,16.37016934684687,6.017529947301196,0.0,0.5595633218064878,0.0
2023-06-12_11-15-26,2023-06-12_11-15-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,25998.100000000002,29225.100000000002,0.0,12990.466666666667,1551.3000000000002,0.0,12.733333333333334,0.0,30.559133931881316,43.501624490739616,0.0,22.101985833353808,6.15808411764568,0.0,1.4326354890356598,0.0
2023-06-12_11-16-27,2023-06-12_11-16-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25704.166666666668,29032.399999999998,0.0,13144.766666666665,1537.1999999999998,0.0,13.333333333333334,0.0,27.537243467307633,22.228570204431485,0.0,21.261509301500308,8.488266411150544,0.0,0.6883151732874829,0.0
2023-06-12_11-17-26,2023-06-12_11-17-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26005.3,29206.36666666667,0.0,13005.666666666666,1553.466666666667,0.0,11.6,0.0,28.692705228565142,50.830185694897764,0.0,16.895416867041654,7.351855396957812,0.0,0.5266244708835068,0.0
2023-06-12_11-18-27,2023-06-12_11-18-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25744.166666666668,29040.033333333336,0.0,13157.466666666665,1549.466666666667,0.0,14.266666666666667,0.0,29.709949698898882,16.71018983867147,0.0,28.39735511940802,5.217066012403694,0.0,0.6014796569941311,0.0
