,UVHWP,QP,HA,VD,Theo Chi,Chi
0,-132.50543769,-24.251088513826073,[2310.0333333333333+/-7.946725391281862],[57.400000000000006+/-1.9785516588319518],0.31495926535897933,[0.312692767526508+/-0.005328131649134464]
1,-127.38849844,-25.20815734863281,[2150.5+/-7.9291445524301585],[224.10000000000002+/-2.269067356132618],0.6289185307179587,[0.6245053793936498+/-0.0031502507353805605]
2,-122.98117298,-25.603982222707646,[1903.966666666667+/-11.220507019639415],[491.3333333333333+/-5.1600172265001],0.942877796076938,[0.9400444190038845+/-0.0048626970443467876]
3,-118.51952741,-25.831407406455597,[1583.2666666666667+/-7.927280604203318],[845.6+/-3.456780776001473],1.2568370614359172,[1.2622140586769353+/-0.0030792384185928815]
4,-114.11387723,-26.00327309056332,[1247.9666666666667+/-4.476134244834236],[1256.3999999999999+/-6.257582067646688],1.5707963267948966,[1.574163784677276+/-0.0030688075490124225]
