UVHWP,HH,HHu,HV,HVu,VH,VHu,VV,VVu
-10.0,31.0,1.4832396974191324,0.2,0.2,0.6,0.39999999999999997,278.2,8.07093550959243
-7.931034482758621,17.8,3.056141357987225,1.0,0.31622776601683794,0.6,0.24494897427831783,284.0,7.694153624668537
-5.862068965517241,9.4,1.1224972160321824,0.6,0.24494897427831783,0.2,0.20000000000000004,303.6,2.315167380558045
-3.793103448275861,4.0,1.0488088481701516,0.6,0.39999999999999997,0.4,0.24494897427831783,301.4,2.5999999999999996
-1.7241379310344822,1.6,0.6,0.6,0.39999999999999997,0.2,0.2,307.4,8.158431221748454
0.3448275862068968,0.6,0.24494897427831783,0.2,0.20000000000000004,0.0,0.0,318.0,11.067971810589327
2.4137931034482776,2.6,1.208304597359457,0.6,0.24494897427831783,0.0,0.0,308.8,10.399038417084533
4.482758620689657,8.0,0.6324555320336759,1.6,0.5099019513592785,0.0,0.0,311.0,8.792041856133306
6.551724137931036,11.0,1.0488088481701516,0.8,0.3741657386773941,0.6,0.39999999999999997,289.6,6.038211655780211
8.620689655172416,23.4,2.874021572639983,1.4,0.6782329983125268,1.2,0.3741657386773941,293.8,12.799999999999999
10.689655172413794,28.6,1.469693845669907,0.8,0.20000000000000004,0.2,0.2,267.0,4.47213595499958
12.758620689655174,48.2,2.107130750570548,0.8,0.3741657386773941,0.8,0.5830951894845301,246.2,5.407402333838309
14.827586206896555,58.4,4.319722213291035,1.0,0.31622776601683794,1.6,0.5099019513592785,209.6,5.921148537234985
16.896551724137932,72.4,2.1587033144922905,0.6,0.24494897427831783,1.0,0.0,214.6,5.861740355901138
18.965517241379313,92.2,6.398437309218556,0.8,0.3741657386773941,0.4,0.24494897427831783,198.2,5.589275444992848
21.03448275862069,106.8,5.238320341483518,1.6,0.8124038404635959,1.0,0.4472135954999579,162.4,2.2715633383201093
23.10344827586207,119.8,3.569313659514949,1.8,0.7348469228349535,1.0,0.4472135954999579,145.8,4.851803788283281
25.172413793103452,143.4,5.904235767650205,1.6,0.5099019513592785,1.6,0.39999999999999997,131.0,3.1144823004794873
27.241379310344833,166.6,5.473572873361603,1.0,0.31622776601683794,1.2,0.3741657386773941,100.4,4.843552415324933
29.310344827586206,178.6,5.4644304369257,1.8,0.48989794855663565,1.0,0.5477225575051661,80.8,3.6110940170535573
31.379310344827587,186.6,5.1146847410177685,1.2,0.3741657386773941,1.6,0.39999999999999997,68.6,4.142463035441596
33.44827586206897,200.6,8.12773031048644,2.0,0.7071067811865476,1.4,0.39999999999999997,52.8,3.4117444218463957
35.51724137931035,209.0,7.26636084983398,0.6,0.24494897427831783,3.0,0.5477225575051661,34.2,2.177154105707724
37.58620689655173,219.0,6.826419266350404,0.4,0.24494897427831783,2.0,0.5477225575051661,20.2,1.772004514666935
39.65517241379311,241.8,10.170545708072897,1.0,0.0,1.4,0.24494897427831777,13.0,1.0488088481701516
41.724137931034484,237.8,10.54229576515476,1.0,0.5477225575051661,1.8,0.48989794855663565,5.6,0.9273618495495702
43.793103448275865,229.2,11.624973118248489,1.4,0.39999999999999997,0.6,0.24494897427831783,2.6,0.8717797887081347
45.862068965517246,251.0,6.625707509390978,1.2,0.7348469228349533,1.6,0.39999999999999997,3.8,0.6633249580710799
47.931034482758626,235.6,7.7756028705175,0.2,0.2,2.0,0.8366600265340755,6.6,1.5362291495737215
50.0,217.0,6.4807406984078595,0.6,0.3999999999999999,1.2,0.58309518948453,13.0,0.6324555320336759
