QP,phi,unc
0.0,13.829873193591132,1.147552422316995
0.9183673469387756,13.123376396734152,1.0337331551727396
1.836734693877551,13.511101165755928,0.9063726916447856
2.7551020408163267,14.517252929524872,0.9950656585230347
3.673469387755102,14.043804272780068,0.8391283908502553
4.591836734693878,15.991341032734104,1.1558166441661035
5.510204081632653,19.92744793731237,1.0535637626618202
6.428571428571429,22.729148318674333,0.6062863241239211
7.346938775510204,26.084871870826365,0.991672626731725
8.26530612244898,28.91738722048191,1.1033780928290038
9.183673469387756,31.92197115533117,0.9793071996852056
10.10204081632653,36.78018939359631,0.6231803935166444
11.020408163265309,41.06463815006936,0.6902281656101029
11.93877551020408,48.47134615264428,0.7859432660769367
12.857142857142858,55.38318975488784,0.8481518110448908
13.775510204081632,59.96851848251757,0.7601821936881772
14.693877551020408,64.85580420830797,1.0440143048594457
15.612244897959185,71.3907757704082,0.9535901017976436
16.53061224489796,78.71301074634216,0.6494781044868146
17.448979591836736,85.95585946264067,1.5274820198352788
18.367346938775512,95.52976302917492,1.0622086166052918
19.285714285714285,105.82196496523348,1.314113168212378
20.20408163265306,115.03016986475204,1.5160494842228804
21.12244897959184,126.80795256629536,0.7877657974948326
22.040816326530614,136.96730824355274,1.0112365696518757
22.95918367346939,145.7124705998861,1.1980512558297796
23.877551020408163,156.369636484623,1.182394892518045
24.79591836734694,168.25685641816094,1.174576481089554
25.714285714285715,180.7044208113801,0.7708388620612993
26.63265306122449,191.6603213215333,0.9401772643630376
27.551020408163264,201.15394203669268,1.0274659445888257
28.46938775510204,213.59704059599,1.2876556029135149
29.387755102040817,226.14482853329682,1.22719132941696
30.306122448979597,236.48768509768593,1.2147788980644405
31.22448979591837,249.93256591870536,0.8846877163445559
32.142857142857146,261.25917626801527,0.860885577291067
33.06122448979592,276.8144614705674,0.9370833856617238
33.97959183673469,292.9038910774735,0.8146832818414697
34.89795918367347,306.30146184188595,1.4649551400916223
35.816326530612244,322.08313347660084,0.906700904056008
36.734693877551024,338.0454663932255,0.7830937624508391
37.6530612244898,356.1402375636854,0.716489981642543
38.57142857142857,368.9058099583366,1.0306940034063208
39.48979591836735,383.00159442832063,1.1265988621159102
40.40816326530612,395.866832008414,0.8585961161601156
41.3265306122449,413.10579358195605,1.57513708911515
42.24489795918368,427.4154651430389,1.0164051438184678
43.16326530612245,440.51612181875777,1.2933898744505197
44.08163265306123,462.4241686177734,2.82128398269479
45.0,476.45528928163253,5.10492831867425
