BCHWP,beta,unc
-10.0,22.467820235098475,0.3271404294783184
-8.775510204081632,19.59197513741011,0.44555949384530114
-7.551020408163265,18.206669873623127,0.32180495015982274
-6.326530612244898,15.559683566101265,0.22544370850229076
-5.1020408163265305,13.241243671442485,0.39854948529690964
-3.8775510204081627,11.0086559558843,0.21874594003414918
-2.6530612244897958,9.034918759658742,0.3315224031363012
-1.4285714285714288,7.529039963222253,0.18784694103035882
-0.204081632653061,5.7491778920782215,0.4603335046426694
1.0204081632653068,5.08418881184647,0.3552263253600852
2.2448979591836746,5.533389930994033,0.3898806602632748
3.4693877551020407,7.138711037533139,0.3002860476162955
4.6938775510204085,9.134893307694691,0.4291966054076521
5.918367346938776,10.860111440590474,0.39280223706831496
7.142857142857142,12.905052309391525,0.20153296377267255
8.367346938775512,15.821853284960417,0.2643313528477609
9.591836734693878,17.709508201968386,0.4058831139195362
10.816326530612244,19.98388336146468,0.31527294001833656
12.040816326530614,22.73795029044658,0.27316638094527584
13.26530612244898,24.720568618715138,0.309696005189704
14.48979591836735,26.74074692624276,0.3587305848418511
15.714285714285715,29.295441863153812,0.297947176981571
16.93877551020408,32.23281798800264,0.3539525721898329
18.16326530612245,34.364821739533234,0.21801189390208978
19.387755102040817,36.36031683330142,0.2633619936536145
20.612244897959183,38.815685029709144,0.3385437865481993
21.836734693877553,41.45465001832252,0.3247271779401795
23.06122448979592,43.71961725667978,0.2335766531438342
24.285714285714285,46.272392194984974,0.3038865359795434
25.51020408163265,48.5865985557893,0.3025396356774318
26.734693877551024,50.95262093609279,0.4417367166694587
27.95918367346939,53.66376115623898,0.27065055897824875
29.183673469387756,55.50360722909525,0.43530232772067384
30.408163265306122,58.14454960082902,0.23936395088400236
31.632653061224488,61.03294980674963,0.26350367945281855
32.85714285714286,63.20670682543138,0.3155064419581703
34.08163265306123,65.72238877461558,0.3641590992308686
35.30612244897959,67.40515595312635,0.27783084977363737
36.53061224489796,70.32400648255798,0.40838683672590914
37.755102040816325,72.20904522600443,0.3230927047537795
38.9795918367347,74.88391913787285,0.1926811263025651
40.204081632653065,76.47948835496071,0.46886596743457737
41.42857142857143,79.48880053954127,0.3440960438043214
42.6530612244898,81.54171699868016,0.33470648859128493
43.87755102040816,83.7748593902726,0.23417634119459912
45.10204081632653,84.0926227559732,0.2002313447819461
46.3265306122449,84.76022393187915,0.33755504748037723
47.55102040816327,84.39014660134056,0.3418205396484173
48.775510204081634,82.54992768387521,0.48901611334348544
50.0,80.05457131872194,0.22571710595980865
