,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-10,1175+/-6,192.1+/-1.5,181.1+/-2.7,1131+/-12,1091+/-10,1080+/-6,254+/-5,251+/-4,-0.859+/-0.005
1,-9,1228+/-10,151.5+/-2.9,143.5+/-2.3,1174+/-13,1041.9+/-1.7,1046+/-7,306.5+/-3.1,293+/-4,-0.956+/-0.005
2,-8,1246+/-13,118.9+/-3.0,119.3+/-2.1,1207+/-11,992+/-4,1010+/-8,337.4+/-1.8,338.7+/-3.5,-1.031+/-0.005
3,-7,1279+/-8,93.6+/-1.8,92.6+/-1.3,1240+/-11,940+/-5,957+/-5,396+/-7,389+/-6,-1.126+/-0.005
4,-6,1301+/-7,78.9+/-3.0,77.0+/-3.1,1253+/-8,915+/-7,946+/-5,444+/-6,433.9+/-1.7,-1.182+/-0.004
