,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-11.78401521,1283+/-8,218+/-4,203+/-4,1232+/-6,1194+/-8,1203+/-10,272+/-5,276.5+/-3.3,-0.847+/-0.005
1,-10.78401521,1305+/-6,165.3+/-3.5,159.3+/-2.6,1259.1+/-2.9,1115+/-8,1143.1+/-0.8,319.2+/-2.6,323+/-5,-0.9458+/-0.0032
2,-9.784015214,1337+/-8,128.1+/-3.1,117.3+/-2.4,1309+/-12,1055+/-10,1064+/-7,386.6+/-3.2,382+/-4,-1.058+/-0.005
3,-8.784015214,1394+/-14,99.3+/-2.2,93.5+/-2.3,1340+/-8,1013+/-8,1023.9+/-3.2,424+/-7,444+/-6,-1.139+/-0.005
4,-7.784015214,1406+/-9,79.1+/-1.0,71.1+/-2.2,1351+/-15,952+/-6,984+/-9,483+/-5,488+/-5,-1.216+/-0.005
