W,min_W_prime,eta_arr,chi
0.0959430940714106,-0.009424685132382335,0.7853981633974483,0.001
0.09609987367899323,-0.008876463958879276,0.7853981633974483,0.06640818028312069
0.09656004024748112,-0.007268406677732735,0.7853981633974483,0.13181636056624138
0.09732102158683546,-0.004612615427542001,0.7853981633974483,0.19722454084936208
0.10628181640515055,-0.0009293880908550624,0.7853981633974483,0.26263272113248276
0.09972654795292449,0.00375245243111244,0.7853981633974483,0.32804090141560344
0.10135726458676955,0.00939506132661835,0.7853981633974483,0.39344908169872417
0.10326103719162627,0.015950869487809934,0.7853981633974483,0.45885726198184484
0.10542628976624424,0.02336162635740856,0.7853981633974483,0.5242654422649655
0.10783938431242678,0.03155713006384127,0.7853981633974483,0.5896736225480862
0.11048443113823955,0.023501052823633184,0.7853981633974483,0.6550818028312069
0.11334301424736838,0.012744960524887952,0.7853981633974483,0.7204899831143275
0.11639379298684605,0.0008578246380706311,0.7853981633974483,0.7858981633974483
0.1196119221294791,-0.010314009442460415,0.7853981633974483,0.851306343680569
0.12296820395173204,-0.020710725922887238,0.7853981633974483,0.9167145239636897
0.12642784397439666,-0.030278386250341745,0.7853981633974483,0.9821227042468104
0.12577614457696262,-0.038968531340894536,0.7853981633974483,1.047530884529931
0.1242481125584474,-0.046737954429072116,0.7853981633974483,1.1129390648130517
0.12288618143285138,-0.053548578463979285,0.7853981633974483,1.1783472450961723
0.12170663397775264,-0.05936739758368102,0.7853981633974483,1.243755425379293
0.12072313265724473,-0.06416645706135854,0.7853981633974483,1.3091636056624136
0.11994677454607551,-0.06792285503757582,0.7853981633974483,1.3745717859455344
0.11938613883522026,-0.07061875500784887,0.7853981633974483,1.439979966228655
0.11904732539960926,-0.07224140168951373,0.7853981633974483,1.5053881465117758
0.11893398282212583,-0.07278313537661704,0.7853981633974483,1.5707963267948966
