W,min_W_prime,eta_arr,chi
-2.7755575615628907e-17,-0.4999997500000208,0.7853981633974483,0.001
-2.7755575615628907e-17,-0.4923265050185014,0.7853981633974483,0.17542181408832186
-2.7755575615628907e-17,-0.4697131604588485,0.7853981633974483,0.3498436281766437
-5.5511151231257815e-17,-0.43284593901285684,0.7853981633974483,0.5242654422649656
-2.7755575615628907e-17,-0.38284361034650594,0.7853981633974483,0.6986872563532874
-1.3877787807814454e-17,-0.3212235410078056,0.7853981633974483,0.8731090704416092
-2.081668171172168e-17,-0.24985564854648665,0.7853981633974483,1.0475308845299311
-5.898059818321143e-17,-0.17090565715002431,0.7853981633974483,1.221952698618253
-6.071532165918823e-18,-0.08676937675579256,0.7853981633974483,1.3963745127065748
-9.373498641636608e-34,-3.0615848543498834e-17,0.7853981633974483,1.5707963267948966
