W,min_W_prime,eta,chi
[-0.25],[-0.4999998125000257],[0.5235987755982988],[0.001]
[-0.25],[-0.48167113094974545],[0.5235987755982988],[0.31495926535897933]
[-0.24999999999999992],[-0.4302479849245091],[0.5235987755982988],[0.6289185307179587]
[-0.24999999999999997],[-0.3566627774477513],[0.5235987755982988],[0.942877796076938]
[-0.25],[-0.2835182902364545],[0.5235987755982988],[1.2568370614359172]
[-0.24999999999999994],[-0.25],[0.5235987755982988],[1.5707963267948966]
