HH probability,HV probability,VH probability,VV probability,DD probability,DA probability,AD probability,AA probability,RR probability,RL probability,LR probability,LL probability,HV population,DA population,RL population,XY min,YZ min,XZ min
0.265977431562169,0.307188130233039,0.174913224438607,0.251921213766186,0.199121670951001,0.192859635400658,0.460961856461038,0.147056837187303,0.245556226250645,0.183345725319792,0.257628477981534,0.313469570448028,0.258949322664177,0.173089254069152,0.279512898349337,0,-0.109360950281483,-0.0462609000001006
0.0948292318637042,0.107366963434482,0.150683264751663,0.64712053995015,0.36307050753589,0.144283058505726,0.322033868292344,0.17061256566604,0.253085482367702,0.320219297449903,0.177083037189456,0.24961218299294,0.370974885906927,0.266841536600965,0.251348832680321,-0.0330641100399684,0,0
0.389508641048572,0.140672968212599,0.321737306423702,0.148081084315128,0.359283268430246,0.319979196149255,0.204602798936472,0.116134736484027,0.29456117073249,0.393845588220143,0.0436447282141241,0.267948512833243,0.26879486268185,0.237709002457137,0.281254841782866,0,0,-0.0415250384617015
0.0772685717479982,0.270698685975222,0.561642569078267,0.0903901731985139,0.107667588330555,0.248433735954034,0.210449612597354,0.433449063118057,0.272940962317679,0.434282318056193,0.0969005593390501,0.195876160287078,0.083829372473256,0.270558325724306,0.234408561302379,-0.248882257636176,-0.00602985080552088,0
0.143243423891308,0.582979514967848,0.0962754136167775,0.177501647524067,0.0831545774026066,0.205964144551152,0.298975542429969,0.411905735616273,0.297454197322983,0.22117197525841,0.367650961923279,0.113722865495327,0.160372535707687,0.24753015650944,0.205588531409155,0,0,-0.0177216590954872
0.250093019864116,0.0467580520733477,0.649864736897278,0.0532841911652585,0.212674045015514,0.231679860961666,0.3822386305925,0.17340746343032,0.133972870196401,0.263177775957312,0.330719389903908,0.272129963942379,0.151688605514687,0.193040754222917,0.20305141706939,-0.00942029521037447,-0.00850675182376632,0
0.1237197158614,0.178103008396536,0.531235071458636,0.166942204283428,0.27981406866282,0.28147384329947,0.266551121903816,0.172160966133893,0.196596416900283,0.280780279946855,0.239988854311263,0.282634448841599,0.145330960072414,0.225987517398356,0.239615432870941,-0.00520411947735918,0,0
0.407568348491383,0.1401863419844,0.161191849586727,0.29105345993749,0.36603355732903,0.344538377350628,0.0712264670042123,0.218201598316128,0.305994968210956,0.301595441963508,0.292886740799604,0.0995228490259307,0.349310904214436,0.292117577822579,0.202758908618443,-0.0210189208736108,0,0
0.337901990550661,0.178030112688914,0.270996210149772,0.213071686610654,0.254936737730894,0.292176767279208,0.297017441113805,0.155869053876093,0.112312382832403,0.200835936983319,0.239624244150009,0.447227436034268,0.275486838580657,0.205402895803493,0.279769909433336,0,-0.0299303250416729,0
0.242648822854007,0.43533693678502,0.192203705214186,0.129810535146787,0.241546038074315,0.251492344501041,0.261178829456833,0.24578278796781,0.260072344702555,0.255485656128042,0.44573095572734,0.0387110434420615,0.186229679000397,0.243664413021063,0.149391694072308,0,0,-0.122254624978701
0.339929317064122,0.18268232732114,0.330286837155569,0.147101518459169,0.252215355747452,0.418407958493167,0.239555647581637,0.089821038177744,0.277019070665535,0.227589351859533,0.387503992236609,0.107887585238322,0.243515417761646,0.171018196962598,0.192453327951929,-0.0134830165278698,-0.022561453196999,-0.0651626725971589
