,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-6.869130345394736,220.5+/-3.5,1116+/-7,1125+/-6,191.7+/-3.2,296+/-4,235+/-4,1062+/-6,1029+/-11,-0.865+/-0.005
1,-5.869130345394736,186.5+/-2.9,1142+/-9,1155+/-9,169+/-5,322+/-6,266+/-4,1004+/-5,970+/-7,-0.951+/-0.005
2,-4.869130345394736,163+/-4,1177+/-9,1165+/-8,148.9+/-3.3,352+/-6,315+/-4,983+/-9,955+/-11,-1.011+/-0.006
3,-3.869130345394736,146.9+/-3.1,1179+/-5,1187+/-10,130.9+/-3.5,390.2+/-3.2,327+/-4,957+/-6,914+/-9,-1.066+/-0.005
4,-2.869130345394736,135.3+/-1.9,1179+/-11,1188+/-9,120.0+/-1.9,400.8+/-3.2,346+/-4,936+/-9,915+/-10,-1.089+/-0.006
