W,min_W_prime,eta,chi
[-0.43301270189221924],[-0.4330127740609729],[0.2617993877991494],[0.001]
[-0.4330127018922192],[-0.43303776833131646],[0.2617993877991494],[0.01863816097522356]
[-0.43301270189221913],[-0.4331076219006635],[0.2617993877991494],[0.03627632195044712]
[-0.4330127018922192],[-0.43322222618134715],[0.2617993877991494],[0.05391448292567068]
[-0.4330127018922192],[-0.4333814031417778],[0.2617993877991494],[0.07155264390089423]
[-0.4330127018922192],[-0.4335849057587252],[0.2617993877991494],[0.08919080487611779]
[-0.4330127018922192],[-0.4338324186429279],[0.2617993877991494],[0.10682896585134136]
[-0.4330127018922192],[-0.4341235588345717],[0.2617993877991494],[0.12446712682656491]
[-0.43301270189221924],[-0.43445787676426917],[0.2617993877991494],[0.14210528780178847]
[-0.4330127018922192],[-0.4348348573743083],[0.2617993877991494],[0.15974344877701202]
[-0.4330127018922192],[-0.43525392139413405],[0.2617993877991494],[0.17738160975223558]
[-0.4330127018922192],[-0.4357144267632764],[0.2617993877991494],[0.19501977072745913]
[-0.4330127018922192],[-0.43621567019426616],[0.2617993877991494],[0.2126579317026827]
[-0.43301270189221913],[-0.43675688886747244],[0.2617993877991494],[0.23029609267790627]
[-0.4330127018922192],[-0.4373372622492749],[0.2617993877991494],[0.24793425365312982]
[-0.4330127018922192],[-0.4379559140245368],[0.2617993877991494],[0.26557241462835335]
[-0.4330127018922192],[-0.43861191413399103],[0.2617993877991494],[0.28321057560357693]
[-0.4330127018922192],[-0.4393042809068688],[0.2617993877991494],[0.3008487365788005]
[-0.4330127018922192],[-0.4400319832789155],[0.2617993877991494],[0.31848689755402404]
[-0.4330127018922192],[-0.4407939430858249],[0.2617993877991494],[0.3361250585292476]
[-0.4330127018922192],[-0.4415890374220953],[0.2617993877991494],[0.35376321950447115]
[-0.4330127018922192],[-0.4424161010553564],[0.2617993877991494],[0.37140138047969473]
[-0.4330127018922192],[-0.44327392888633715],[0.2617993877991494],[0.38903954145491826]
[-0.4330127018922192],[-0.4441612784448288],[0.2617993877991494],[0.40667770243014184]
[-0.4330127018922192],[-0.4450768724122455],[0.2617993877991494],[0.4243158634053654]
[-0.43301270189221924],[-0.44601940116169175],[0.2617993877991494],[0.44195402438058895]
[-0.4330127018922192],[-0.446987525306795],[0.2617993877991494],[0.45959218535581253]
[-0.4330127018922192],[-0.44797987825096247],[0.2617993877991494],[0.47723034633103606]
[-0.4330127018922192],[-0.4489950687291522],[0.2617993877991494],[0.49486850730625964]
[-0.4330127018922192],[-0.4500316833347125],[0.2617993877991494],[0.5125066682814832]
[-0.4330127018922192],[-0.451088289024333],[0.2617993877991494],[0.5301448292567067]
[-0.4330127018922192],[-0.45216343559465133],[0.2617993877991494],[0.5477829902319303]
[-0.4330127018922192],[-0.45325565812458013],[0.2617993877991494],[0.5654211512071539]
[-0.4330127018922192],[-0.4543634793779383],[0.2617993877991494],[0.5830593121823774]
[-0.4330127018922192],[-0.45548541216149613],[0.2617993877991494],[0.600697473157601]
[-0.4330127018922192],[-0.4566199616340594],[0.2617993877991494],[0.6183356341328246]
[-0.4330127018922192],[-0.4577656275627331],[0.2617993877991494],[0.6359737951080481]
[-0.43301270189221924],[-0.45892090652299977],[0.2617993877991494],[0.6536119560832716]
[-0.4330127018922192],[-0.46008429403973305],[0.2617993877991494],[0.6712501170584952]
[-0.4330127018922192],[-0.4612542866667314],[0.2617993877991494],[0.6888882780337188]
[-0.4330127018922192],[-0.462429384002799],[0.2617993877991494],[0.7065264390089423]
[-0.4330127018922192],[-0.46360809064282504],[0.2617993877991494],[0.7241645999841659]
[-0.4330127018922192],[-0.46478891806270606],[0.2617993877991494],[0.7418027609593895]
[-0.4330127018922192],[-0.46597038643733],[0.2617993877991494],[0.759440921934613]
[-0.4330127018922192],[-0.46715102639118256],[0.2617993877991494],[0.7770790829098365]
[-0.4330127018922192],[-0.468329380681459],[0.2617993877991494],[0.7947172438850602]
[-0.4330127018922192],[-0.46950400581385227],[0.2617993877991494],[0.8123554048602837]
[-0.43301270189221924],[-0.47067347359145595],[0.2617993877991494],[0.8299935658355072]
[-0.4330127018922192],[-0.47183637259745903],[0.2617993877991494],[0.8476317268107308]
[-0.4330127018922192],[-0.47299130961252406],[0.2617993877991494],[0.8652698877859544]
[-0.4330127018922192],[-0.47413691096792676],[0.2617993877991494],[0.8829080487611779]
