W,min_W_prime,eta,chi
[-0.4326099365211019],[-0.4326101353368419],[0.2617993877991494],[0.001]
[-0.43075858397428424],[-0.4308367720462951],[0.2617993877991494],[0.033036659730508094]
[-0.4387185394497328],[-0.4390191373198018],[0.2617993877991494],[0.06507331946101619]
[-0.4357224240327727],[-0.4363856355876724],[0.2617993877991494],[0.09710997919152428]
[-0.4318588174007799],[-0.43304627129238815],[0.2617993877991494],[0.12914663892203238]
[-0.43589041394225536],[-0.43772219368794474],[0.2617993877991494],[0.16118329865254047]
[-0.4349555986975491],[-0.43756524204430913],[0.2617993877991494],[0.19321995838304856]
[-0.4397354655046112],[-0.44325552397697426],[0.2617993877991494],[0.22525661811355666]
[-0.43275226265201794],[-0.43732670815900765],[0.2617993877991494],[0.25729327784406475]
[-0.4366156346639957],[-0.44237573359093124],[0.2617993877991494],[0.2893299375745728]
[-0.43223307528200916],[-0.4392732211017504],[0.2617993877991494],[0.32136659730508094]
[-0.43691337370480415],[-0.4453617002526491],[0.2617993877991494],[0.35340325703558906]
[-0.43555809874343865],[-0.44551903600612897],[0.2617993877991494],[0.3854399167660971]
[-0.43220818921916526],[-0.44371690557079235],[0.2617993877991494],[0.4174765764966052]
[-0.4344932609020625],[-0.4477342423531555],[0.2617993877991494],[0.4495132362271133]
[-0.43335433521407707],[-0.4483563181836141],[0.2617993877991494],[0.48154989595762143]
[-0.43294989721418703],[-0.44982952657569186],[0.2617993877991494],[0.5135865556881295]
[-0.4336352861335757],[-0.4524291036862572],[0.2617993877991494],[0.5456232154186376]
[-0.43255801397159854],[-0.4533610917184881],[0.2617993877991494],[0.5776598751491456]
[-0.4326630426848298],[-0.45554747802855133],[0.2617993877991494],[0.6096965348796538]
[-0.44043057065336],[-0.46512327806783754],[0.2617993877991494],[0.6417331946101619]
[-0.43286764400470273],[-0.45970585442397105],[0.2617993877991494],[0.6737698543406699]
[-0.43278782381534187],[-0.4618150372769401],[0.2617993877991494],[0.7058065140711781]
[-0.4321810667043107],[-0.4633597394790313],[0.2617993877991494],[0.7378431738016862]
[-0.4268207621418886],[-0.46039835072080415],[0.2617993877991494],[0.7698798335321942]
[-0.4344622112908678],[-0.469879388921866],[0.2617993877991494],[0.8019164932627023]
[-0.4334031573919946],[-0.4708729220547843],[0.2617993877991494],[0.8339531529932104]
[-0.4315203206966973],[-0.4712400199538477],[0.2617993877991494],[0.8659898127237186]
[-0.4342866630446116],[-0.4757216567687701],[0.2617993877991494],[0.8980264724542266]
[-0.4300770412205631],[-0.4740253175455425],[0.2617993877991494],[0.9300631321847347]
[-0.43406912170331585],[-0.4795649423948849],[0.2617993877991494],[0.9620997919152429]
[-0.43418901264301535],[-0.4816243099524411],[0.2617993877991494],[0.9941364516457509]
[-0.42727025177959055],[-0.4770538591580513],[0.2617993877991494],[1.0261731113762589]
[-0.4336708386868087],[-0.4847817726729151],[0.2617993877991494],[1.058209771106767]
[-0.431832775079615],[-0.48446694323025374],[0.2617993877991494],[1.090246430837275]
[-0.4298528505652791],[-0.4845156230045038],[0.2617993877991494],[1.1222830905677832]
[-0.4410521620585435],[-0.4965866633189384],[0.2617993877991494],[1.1543197502982911]
[-0.42760678214723025],[-0.48540610548772156],[0.2617993877991494],[1.1863564100287993]
[-0.4305469828470644],[-0.4894831093226537],[0.2617993877991494],[1.2183930697593075]
[-0.43145649401050523],[-0.4919067369927013],[0.2617993877991494],[1.2504297294898155]
[-0.4285823778636272],[-0.4901636159292113],[0.2617993877991494],[1.2824663892203236]
[-0.4333203644997058],[-0.4956346639439343],[0.2617993877991494],[1.3145030489508318]
[-0.4324841391790993],[-0.49589853300653586],[0.2617993877991494],[1.3465397086813398]
[-0.43552576278941113],[-0.4994075717704331],[0.2617993877991494],[1.378576368411848]
[-0.4351032362151487],[-0.49927251766329617],[0.2617993877991494],[1.4106130281423561]
[-0.43509252700071743],[-0.5005043658054188],[0.2617993877991494],[1.442649687872864]
[-0.4312422073392138],[-0.4971816403849461],[0.2617993877991494],[1.4746863476033722]
[-0.4330858841816716],[-0.49938935878950574],[0.2617993877991494],[1.5067230073338802]
[-0.43504949763853484],[-0.5012357261805549],[0.2617993877991494],[1.5387596670643884]
[-0.43270097291085174],[-0.4991983984910454],[0.2617993877991494],[1.5707963267948966]
