BCHWP,beta,unc,HD,HA,VD,VA,HDu,HAu,VDu,VAu
-10.0,43.9587209278135,0.661970286861688,1249.2,211.4,240.6,1254.4,19.03785702225962,5.124451190127583,9.37336652436039,11.298672488394375
-8.775510204081632,38.32284032046125,0.5694802220054916,1147.0,270.6,283.8,1217.2,11.104053313993047,11.232096865679178,8.315046602394961,14.118781817139888
-7.551020408163265,33.504783890468175,0.5066878099751372,1083.4,300.6,350.2,1171.2,4.822862220714998,7.685050422736339,8.446300965511469,17.47398065696537
-6.326530612244898,28.85878034953174,0.7082693564335442,1059.4,356.8,399.2,1107.2,13.757179943578553,3.878143885933063,14.506550244630871,24.216523284732677
-5.1020408163265305,24.88683506610329,0.497303373720033,1014.4,395.8,456.8,1077.2,7.672027111526652,9.366963221877196,10.523307464861036,16.734395716607157
-3.8775510204081627,19.243365995863492,0.4177541512881232,967.2,462.8,514.0,970.0,17.167993476233615,5.902541825349482,3.7282703764614493,7.674633541739956
-2.6530612244897958,15.133173736292495,0.5419783754729657,907.8,513.4,563.6,930.2,13.997856978837866,11.889491158161478,8.812491134747313,17.133009076049657
-1.4285714285714288,9.218303484075154,0.5631488647569809,815.4,577.6,636.0,861.2,16.50030302752043,3.6414282912066245,20.545072401916716,8.867919710958144
-0.204081632653061,4.963545142232068,0.5346570861024477,773.6,638.6,686.4,802.4,9.064215354899728,17.29045979724079,16.27144738491324,9.02551937563706
1.0204081632653068,0.8963319185364303,0.5738788926542049,724.6,675.2,753.2,749.2,13.03687079018581,11.753297409663382,17.94268653240088,14.654009690183774
2.2448979591836746,-4.552071421157576,0.415992753520982,674.6,751.2,840.0,682.6,11.578428218026831,13.124023773218333,7.569676347110224,9.57914401186244
3.4693877551020407,-9.520837908797061,0.41679905619107077,604.8,803.2,892.0,609.2,8.968834929911464,9.702576977277737,9.126883367283707,13.331916591398251
4.6938775510204085,-14.160311030111718,0.46523793981258316,529.0,862.2,930.2,558.8,11.471704319759988,8.339064695755752,10.60848716830067,14.161214637170076
5.918367346938776,-18.939332406234335,0.5331763893249604,478.2,915.4,1018.6,508.0,13.632314550361578,10.317945531936093,12.167990795525775,14.842506526863986
7.142857142857142,-23.111243526663667,0.5031746597667555,430.4,985.8,1050.2,457.8,5.473572873361603,18.27949671079595,11.521284650593438,7.812809993849844
8.367346938775512,-28.546225080246163,0.4981924552169055,380.8,1036.8,1120.0,381.2,3.5411862419251543,12.326394444443192,12.988456413292534,12.799999999999999
9.591836734693878,-32.31312461122626,0.6054285497077903,328.6,1065.2,1153.6,344.4,8.925245094673869,17.46539435569664,15.81328555360966,5.67097875150313
10.816326530612244,-37.73776035911234,0.34330647324357744,281.2,1136.0,1224.2,286.8,6.651315659326356,3.9623225512317894,8.890444308357146,7.3171032519706865
12.040816326530614,-42.791501097915855,0.6319611860198132,226.6,1179.6,1255.6,238.4,10.457533169921097,13.555810562264433,14.270949512909082,7.366138744281158
13.26530612244898,-47.36987152893384,0.7575775369768253,199.0,1224.0,1323.2,188.8,10.83512805646523,10.756393447619885,20.836026492592104,4.851803788283281
14.48979591836735,-52.059404345867,0.7458173071125708,159.2,1274.6,1372.6,153.6,5.285830114561004,8.61742420912421,20.944211610848473,4.51220566907139
15.714285714285715,-57.073433056083495,0.6147621201950639,115.8,1299.4,1377.8,118.0,2.517935662402834,11.124747188138704,11.346365056704283,5.422176684690383
16.93877551020408,-61.46219940008107,0.5631607459818163,90.2,1359.2,1389.8,87.6,0.8602325267042625,11.997499739529065,4.933558553417603,4.456455991031437
18.16326530612245,-65.41006000541763,1.2532932818015425,63.8,1370.8,1412.4,68.4,3.59722114972099,19.589282784216472,17.448782192462602,1.74928556845359
19.387755102040817,-70.01252712385352,1.4374492036447954,47.0,1357.6,1444.2,40.0,1.7888543819998317,16.08291018441625,18.497026788108403,3.1144823004794873
20.612244897959183,-73.98521270615227,1.7027502489101847,29.2,1370.4,1469.6,27.0,1.6552945357246849,15.948667655951704,17.307801709055948,2.6832815729997477
21.836734693877553,-77.18019230401882,1.5921686555247256,18.4,1382.0,1470.4,17.6,1.5033296378372907,6.418722614352484,16.4304595188327,1.9390719429665315
23.06122448979592,-80.56644228368975,2.9014591406414794,7.8,1404.0,1504.4,12.0,1.2806248474865696,19.4164878389476,14.500344823486095,1.3416407864998738
24.285714285714285,-79.48978659951895,3.0953930963829084,11.2,1395.0,1465.6,13.0,1.5937377450509227,18.371173070873834,21.572204337990126,1.673320053068151
25.51020408163265,-77.02484144220237,1.753947875841552,15.0,1391.8,1500.4,22.4,1.224744871391589,14.783098457360012,13.396268137059662,2.44131112314674
26.734693877551024,-73.73753685948246,1.0112639272237216,25.6,1384.6,1456.6,32.4,1.720465053408525,11.630133275246676,7.406753674856482,3.501428280002319
27.95918367346939,-69.2924763834599,0.9234318700394608,36.6,1343.6,1406.6,55.2,1.4352700094407322,10.64706532336493,11.214276615100948,4.597825573029059
29.183673469387756,-65.3660643891195,0.8114537296499713,55.4,1331.8,1403.4,75.0,1.4352700094407322,12.725564820470641,9.79081201943945,5.128352561983234
30.408163265306122,-61.81114431039052,0.6855875507910171,81.8,1354.0,1396.6,91.6,3.7868192457522976,11.40175425099138,10.745231500530828,3.655133376499413
31.632653061224488,-56.22811178988369,0.7675871247614844,105.2,1279.8,1381.2,140.0,4.684015371452148,16.977632343763364,12.009995836801941,3.7416573867739413
32.85714285714286,-51.60867756666061,0.6848429850810936,149.2,1257.6,1321.4,163.4,3.072458299147443,14.851262572589576,13.529966740535617,6.903622237637282
