UVHWP,alpha,unc
-10.0,72.93132196325631,0.2542972784761499
-8.775510204081632,75.28889353993917,0.2395188488654383
-7.551020408163265,77.39481664252972,0.29278800341211464
-6.326530612244898,80.10766413366056,0.3672254007649852
-5.1020408163265305,81.19880929484937,0.37656516484229013
-3.8775510204081627,84.04277008162344,0.39341494337589483
-2.6530612244897958,85.06731017216308,0.29607099132230963
-1.4285714285714288,85.3987588741276,0.36961287164738604
-0.204081632653061,84.76137731584063,0.3014391630609848
1.0204081632653068,83.38345908271964,0.44442950079676796
2.2448979591836746,82.11858968969875,0.28877889227414416
3.4693877551020407,79.32393631162103,0.14463799591686985
4.6938775510204085,77.23428804865112,0.13853121038440397
5.918367346938776,75.59939367646369,0.4365070646195689
7.142857142857142,72.73629142751807,0.36993721702953447
8.367346938775512,71.23742190363912,0.299717661380671
9.591836734693878,68.25115695444714,0.2313950708532171
10.816326530612244,66.13355630527114,0.1671696303782608
12.040816326530614,63.89597042133296,0.2451170174606926
13.26530612244898,61.93402101463448,0.2770580633268003
14.48979591836735,59.560919440588584,0.31378849768104844
15.714285714285715,57.587390210217464,0.4080460826958455
16.93877551020408,54.516056923815874,0.2906460968299459
18.16326530612245,52.116147773932504,0.20422211049446687
19.387755102040817,50.55557940435399,0.37686130359247344
20.612244897959183,47.479791708992764,0.3305186533073695
21.836734693877553,45.814650247143575,0.21628785119300192
23.06122448979592,42.73923522678107,0.36383553278049763
24.285714285714285,40.674549909686725,0.37360884466607325
25.51020408163265,38.50994316371449,0.31952979088395017
26.734693877551024,35.9365336661309,0.3765738858827727
27.95918367346939,33.7671812388276,0.28098735562185895
29.183673469387756,31.509013193912665,0.420670054956715
30.408163265306122,28.395274925841058,0.2958265408623271
31.632653061224488,26.44205346251238,0.3778770616784611
32.85714285714286,23.89888675342607,0.3141745050413244
34.08163265306123,21.18104981162997,0.3035427180970268
35.30612244897959,19.08959726808224,0.45087616548246495
36.53061224489796,17.735039142081902,0.27107437743564866
37.755102040816325,14.363818049400566,0.25029986853412484
38.9795918367347,12.964204368598406,0.26744036487642703
40.204081632653065,11.343670606548516,0.3770624645660081
41.42857142857143,9.295259045221508,0.33201635798751905
42.6530612244898,9.23906517702288,0.4075368259345362
43.87755102040816,8.606925571815697,0.31535328470153723
45.10204081632653,9.627028426543223,0.3047158691733545
46.3265306122449,10.532696757687747,0.3511411919724216
47.55102040816327,12.3595522907713,0.2580398186717129
48.775510204081634,14.262216910309693,0.2829845463403029
50.0,16.37590084278998,0.33240880063792677
