,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,-22.8,414+/-7,1149+/-6,1121+/-10,443+/-5,143+/-4,1452+/-17,1401+/-15,124.9+/-2.5
1,-23.46666666666667,503+/-4,1049.9+/-3.5,1026+/-11,544+/-4,103.8+/-2.7,1488+/-4,1445+/-5,86.1+/-1.2
2,-24.133333333333333,594+/-6,959+/-14,953+/-10,631.9+/-2.5,65.9+/-2.1,1524+/-6,1473+/-12,56.0+/-1.3
3,-24.8,698+/-4,871+/-4,844.1+/-3.2,746+/-8,40.5+/-1.4,1533+/-12,1515+/-10,45.9+/-1.6
4,-25.46666666666667,811.3+/-3.1,759+/-8,722+/-4,864+/-8,37.3+/-1.7,1565+/-7,1523+/-8,43.5+/-1.7
5,-26.133333333333333,921+/-13,644+/-7,626+/-7,984+/-6,43.9+/-1.4,1555+/-9,1503+/-13,63.6+/-1.5
6,-26.8,1057+/-14,535+/-5,516+/-6,1081+/-8,69.0+/-3.2,1539+/-12,1477+/-6,100.9+/-1.5
7,-27.46666666666667,1159+/-10,417+/-4,407.5+/-3.4,1179+/-10,112.7+/-2.7,1472+/-6,1422+/-11,152.5+/-3.5
8,-28.133333333333333,1259+/-6,320.1+/-3.3,304+/-5,1276+/-6,173+/-4,1413+/-6,1377+/-11,226+/-4
9,-28.8,1331+/-6,228.1+/-2.4,213+/-5,1348+/-15,247+/-5,1323+/-6,1301+/-9,303.0+/-3.4
