sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3344,1685579257.9169865,10151.0,90.35055186451393,11274.0,109.69857691774207,0.0,0.0,21593.0,173.92239648762887,457.0,18.381754238616313,0.0,0.0,3.0,2.134374745810949,0.0,0.0
3345,1685579259.007988,10193.0,127.49771239777859,11130.0,115.95018087284058,0.0,0.0,21704.0,216.1953848823893,484.0,27.45501370929867,0.0,0.0,2.0,1.9999999999999998,0.0,0.0
3346,1685579260.1079895,10101.0,74.75069676375375,11483.0,157.43817128567574,0.0,0.0,21393.0,109.57544331545174,447.0,24.587711474546698,0.0,0.0,5.0,2.23606797749979,0.0,0.0
3347,1685579261.2209945,10180.0,103.74113081233604,11277.0,123.21661143422722,0.0,0.0,21466.0,137.49505041596547,465.0,17.07825127659933,0.0,0.0,11.0,2.7688746209726918,0.0,0.0
3348,1685579262.3109963,9993.0,74.6852655407269,11418.0,136.01307126727033,0.0,0.0,21568.0,116.8741013037343,510.0,26.373387259803312,0.0,0.0,7.0,3.0,0.0,0.0
3349,1685579263.4109974,10255.0,111.16804097101529,11348.0,55.633722786733514,0.0,0.0,21425.0,240.8607250858655,478.0,16.65332799572906,0.0,0.0,7.0,2.134374745810949,0.0,0.0
3350,1685579264.510999,10342.0,101.81464640326666,11426.0,100.30176690589474,0.0,0.0,21586.0,157.58736553981026,522.0,19.652537297311564,0.0,0.0,7.0,2.134374745810949,0.0,0.0
3351,1685579265.6310005,10251.0,102.26816600378527,11241.0,108.29435196106334,0.0,0.0,21536.0,161.43247642418314,482.0,18.123036292090916,0.0,0.0,9.0,3.48010216963685,0.0,0.0
3352,1685579266.711002,10100.0,102.54538290706,11307.0,125.20250263739406,0.0,0.0,21375.0,176.64937022248338,435.0,21.97220466356933,0.0,0.0,4.0,1.632993161855452,0.0,0.0
3353,1685579267.811004,10127.0,82.0711073805311,11481.0,155.51670149679887,0.0,0.0,21577.0,156.56769923724508,491.0,15.666666666666664,0.0,0.0,8.0,2.4944382578492945,0.0,0.0
summary,,10169.3,31.12592702769402,11338.5,36.08115851798553,0.0,0.0,21522.3,33.064264025614655,477.1,8.558881027590255,0.0,0.0,6.3,0.8825468196582484,0.0,0.0
