sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3374,1685579290.9020467,10208.0,112.93852801905606,11362.0,60.19966777316964,0.0,0.0,21719.0,191.11049741503533,485.0,24.002314703192923,0.0,0.0,4.0,2.2110831935702664,0.0,0.0
3375,1685579292.0040483,10212.0,41.25260934507995,11415.0,122.64900235133499,0.0,0.0,21569.0,100.88992902058054,451.0,26.39233895575675,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3376,1685579293.2740502,10146.0,115.4912214076127,11286.0,50.88549236603035,0.0,0.0,21585.0,110.84774342413209,460.0,23.045848023258138,0.0,0.0,7.0,2.134374745810949,0.0,0.0
3377,1685579294.3020573,10207.0,89.6914463901411,11578.0,127.67841547332024,0.0,0.0,21403.0,101.11654442056233,503.0,27.65059774318732,0.0,0.0,3.0,1.5275252316519463,0.0,0.0
3378,1685579295.4120586,10226.0,140.24740045125017,11388.0,138.93083810939086,0.0,0.0,21326.0,96.69195071635143,447.0,17.0,0.0,0.0,6.0,2.6666666666666665,0.0,0.0
3379,1685579296.5020602,10128.0,99.91996797437437,11276.0,101.28288217770178,0.0,0.0,21731.0,165.78064489626712,480.0,18.012341448141726,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3380,1685579297.6020617,10256.0,65.255055146879,11565.0,126.42301126684879,0.0,0.0,21482.0,131.73879880699957,465.0,14.395215254459455,0.0,0.0,3.0,1.5275252316519463,0.0,0.0
3381,1685579298.7020633,10175.0,110.21443744910292,11375.0,107.97376224497009,0.0,0.0,21608.0,94.23139368361032,499.0,24.56058269305153,0.0,0.0,3.0,1.5275252316519468,0.0,0.0
3382,1685579299.802065,10314.0,69.46142014736589,11368.0,71.17739965903658,0.0,0.0,22016.0,176.57356037137106,477.0,23.57258294431619,0.0,0.0,8.0,2.9059326290271152,0.0,0.0
3383,1685579300.9020662,10238.0,115.31406390086742,11581.0,107.542756355063,0.0,0.0,21554.0,131.84334138160585,487.0,24.360715187457952,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
summary,,10211.0,17.004574547913734,11419.4,36.47531890044128,0.0,0.0,21599.3,61.0599068310968,475.4,6.070328565151056,0.0,0.0,5.2,0.5734883511361751,0.0,0.0
