Theta,Phi,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
2.18,0.0,10214.0,37.79123943161665,11385.3,49.363065364928694,0.0,0.0,21587.0,57.48313762409904,463.9,7.165426249242492,0.0,0.0,7.3,0.8439325934114774,0.0,0.0
2.184,0.0,10235.9,19.962436947649675,11408.3,18.298178415714865,0.0,0.0,21509.2,50.55597557823077,472.1,6.7502263336539725,0.0,0.0,8.4,1.0561986345169907,0.0,0.0
2.188,0.0,10158.1,42.37332756450559,11325.0,38.763671423411665,0.0,0.0,21662.0,45.6048243062069,450.8,8.175573374387879,0.0,0.0,9.0,1.0645812948447542,0.0,0.0
2.192,0.0,10197.3,39.96194022650385,11395.3,34.714406231419254,0.0,0.0,21584.6,68.48328263160288,463.5,6.275614179770242,0.0,0.0,8.1,0.9480975102218594,0.0,0.0
2.196,0.0,10236.8,34.11900741033752,11367.6,36.69096164815889,0.0,0.0,21680.4,42.97110140030804,458.3,5.191980996369947,0.0,0.0,6.2,0.7272474743090476,0.0,0.0
2.2,0.0,10252.7,31.66457887854433,11344.8,39.43906692608231,0.0,0.0,21678.3,53.79034403228064,461.4,9.662297863344929,0.0,0.0,6.0,0.6992058987801011,0.0,0.0
2.204,0.0,10257.0,35.73420396949305,11392.0,49.69507017803677,0.0,0.0,21651.8,57.56712024526963,466.8,11.574685020912376,0.0,0.0,5.2,0.7571877794400363,0.0,0.0
2.208,0.0,10143.5,28.83140648667699,11372.5,29.903269980982937,0.0,0.0,21663.3,47.64825984930265,471.8,5.577335086460797,0.0,0.0,7.0,0.6146362971528591,0.0,0.0
2.212,0.0,10169.3,31.12592702769402,11338.5,36.08115851798553,0.0,0.0,21522.3,33.064264025614655,477.1,8.558881027590255,0.0,0.0,6.3,0.8825468196582484,0.0,0.0
2.216,0.0,10187.9,24.558976634488115,11374.8,30.648472863894686,0.0,0.0,21719.2,50.33527590070407,474.9,6.045108215187989,0.0,0.0,4.4,0.7483314773547882,0.0,0.0
2.22,0.0,10211.0,17.004574547913734,11419.4,36.47531890044128,0.0,0.0,21599.3,61.0599068310968,475.4,6.070328565151056,0.0,0.0,5.2,0.5734883511361751,0.0,0.0
