QP,phi,unc,DL,DR,RR,RL,DLu,DRu,RRu,RLu
0.0,10.481621343925942,0.375956752638327,859.0,604.8,1411.4,37.4,15.524174696260024,6.32771680782255,14.05916071463727,1.6911534525287761
0.9183673469387755,9.59987363031075,0.5508528874835256,846.4,618.0,1384.0,33.6,18.0321934328578,9.224966124599048,16.61324772583615,2.9257477676655586
1.836734693877551,11.102514328333461,0.7851941119688292,839.8,579.0,1365.8,36.8,12.00583191619806,13.13011804973588,18.295901180319053,1.2409673645990857
2.7551020408163267,12.535039769177146,0.8213599067695628,863.0,560.0,1405.0,42.2,8.35463942968217,14.45683229480096,6.723094525588644,1.42828568570857
3.673469387755102,13.71452060134679,0.7062787613154367,885.0,561.4,1368.6,42.6,4.827007354458868,12.048236385463227,11.948221624995076,4.342810150121693
4.591836734693878,13.945620715542898,0.6279741370770807,881.2,548.6,1382.0,42.6,8.93532316147547,10.911461863563469,8.432081593533118,2.541653005427767
5.510204081632653,17.036468910312205,0.5269178482627576,915.4,516.8,1350.8,50.0,16.901479225203932,7.651143705355428,23.86084659017781,2.7386127875258306
6.428571428571429,20.565827998397197,0.6805944951078496,968.8,487.2,1342.4,58.8,15.229576487873851,10.739646176667089,22.54462241866117,1.4966629547095764
7.346938775510204,21.871533326757124,0.5101767372452508,983.4,463.4,1371.0,75.6,8.35224520712844,8.942035562443264,10.672394295564608,2.619160170741759
8.26530612244898,26.10953877311936,0.7721772334432698,1011.4,402.4,1333.0,90.4,20.38038272457119,11.86844555954991,24.55198566307825,4.48998886412873
9.183673469387756,29.64040333193782,0.6135092166993712,1027.8,355.0,1295.6,113.2,5.748043145279966,10.779610382569492,11.421908772179892,4.397726685459204
10.10204081632653,33.58284481072946,0.5749298417406444,1092.4,321.8,1299.6,139.0,32.204968560767135,5.739337940912697,21.08459153030952,6.685805860178712
11.020408163265307,39.138902096423244,0.43196901891308775,1137.8,265.4,1249.6,177.6,15.301633899685353,8.778382538941898,4.106093033529562,4.791659420284375
11.938775510204081,42.784005478032434,0.4670719500130707,1153.6,222.0,1225.0,218.4,22.657449106199046,6.107372593840988,10.47377677822093,8.611620056644394
12.857142857142858,50.30523761868231,0.5784778519420752,1214.4,175.2,1131.0,268.4,18.94623973246406,8.187795796183488,14.408330923462302,3.749666651850534
13.775510204081632,55.54461103222662,0.5326260831017562,1294.2,140.2,1100.4,308.6,24.595528048814074,4.363484845854286,13.347658970770865,7.270488291717414
14.693877551020408,63.44247091550228,0.6128573601136283,1324.8,106.0,984.8,375.6,11.968291440301742,6.115553940568262,12.138368918433809,9.972963451251589
15.612244897959185,67.84347855702447,0.6856371390601114,1330.8,71.0,971.6,458.6,14.864050591948343,3.9874804074753767,16.660132052297786,5.104899607240086
16.53061224489796,77.80440939625018,0.7329903630770361,1382.0,47.6,854.8,566.4,16.071714283174646,3.0757112998459397,11.612062693595828,13.54843164355196
17.448979591836736,85.1336389196542,0.7380699123007055,1345.6,34.8,755.6,644.0,15.8385605406552,5.285830114561005,13.98427688513067,9.6591925128346
18.367346938775512,94.5603762407194,0.505192353703492,1350.2,38.8,674.4,779.0,5.219195340279955,1.9595917942265422,7.4404300950953095,8.94427190999916
19.285714285714285,102.59404360428489,0.5613256041670587,1366.2,64.6,551.4,842.2,4.223742416388575,1.8601075237738274,7.2221880341071145,11.257886124845996
20.20408163265306,113.07295471414527,0.6591729848906726,1295.8,94.8,459.4,971.0,22.71871475237981,4.55411901469428,8.925245094673869,13.390294993016397
21.122448979591837,120.98856392545245,0.6655711394113477,1242.8,156.2,379.2,1031.8,25.96613178738797,5.0931326312987375,8.86227961644181,14.062005546862794
22.040816326530614,132.432878189047,0.7592873483604987,1182.8,225.0,268.2,1143.8,7.690253571892152,5.9076221950967716,16.70748335327616,14.333178293735134
22.95918367346939,143.20978081593094,0.38529418401119564,1092.8,300.4,189.0,1248.6,12.674383614203887,5.844655678480982,8.854377448471462,4.48998886412873
23.877551020408163,154.5366549381284,0.445679455738984,980.8,416.8,117.8,1302.2,10.09158064923429,6.421837743200928,4.747630988187687,13.305637902783916
24.79591836734694,165.29609187471232,0.45574344229802244,863.4,527.4,59.0,1339.4,13.025359879865123,6.004997918400971,4.5934736311423405,25.543296576597154
25.714285714285715,176.16176135110777,0.6281266262649611,743.2,652.4,38.4,1391.8,17.853291013143764,10.519505691808906,2.2045407685048604,13.211358749197599
26.63265306122449,187.02986992790196,0.5392226208423325,615.2,783.4,32.4,1396.4,13.83618444514238,9.146584061823297,2.9765752132274432,12.512393855693642
27.551020408163264,199.40460145018687,0.8606234864822118,477.8,924.8,61.2,1330.2,9.052071586106685,13.536617007214172,4.363484845854286,26.96924173943346
28.46938775510204,209.50835369789635,1.3363082443892647,360.2,1038.0,118.8,1316.4,9.8254770876533,25.647611974606914,4.532107677449863,10.870142593360953
29.387755102040817,223.40733497218568,1.2082132919899944,244.6,1157.2,202.2,1167.0,10.181355508968341,23.71792571031455,5.314132102234569,19.36749854782491
30.306122448979593,233.44145200030204,0.4129478335315154,160.4,1230.6,307.8,1101.4,6.896375859826667,7.2567210226106935,4.017461885320133,8.298192574289898
31.22448979591837,247.1143454964229,0.5727476565009206,95.2,1286.8,437.2,940.2,4.305810028322197,14.378456106272328,7.722693830523129,7.97746827007165
32.142857142857146,260.02882645373654,0.6961161170986911,72.4,1315.8,601.2,819.8,4.202380277890138,16.31686244349691,13.283071933856263,7.0455659815234135
33.06122448979592,273.837649114254,0.7410322421870893,78.4,1336.6,733.6,649.2,5.221110992882645,11.52215257666726,12.808590867070427,10.096534058774823
