,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-29,1406+/-15,236+/-4,234+/-4,1342+/-4,1318.9+/-3.5,1316+/-12,295.5+/-1.7,293+/-5,-0.839+/-0.005
1,-28,1514+/-12,132.9+/-1.9,124.7+/-2.4,1471+/-19,1171+/-6,1193+/-7,439.5+/-3.3,427+/-8,-1.069+/-0.005
2,-27,1550+/-21,56.7+/-2.7,59.9+/-1.3,1496+/-4,993+/-6,994+/-7,610+/-11,600+/-5,-1.312+/-0.005
3,-26,1586+/-10,34.4+/-1.4,34.9+/-0.9,1544+/-14,815+/-5,827+/-7,792.3+/-3.5,771+/-4,-1.5449+/-0.0033
4,-25,1577+/-5,44.1+/-1.5,51.1+/-2.0,1558+/-6,632+/-9,661+/-8,945+/-6,934+/-8,-1.761+/-0.005
5,-24,1530+/-14,90.1+/-1.2,102.4+/-2.6,1510+/-13,484+/-6,516+/-8,1096+/-6,1074+/-5,-1.961+/-0.004
