,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma,chi
0,-9.714492075,1361+/-11,133.1+/-2.4,119.2+/-2.9,1317+/-9,1074+/-9,1103+/-10,377+/-5,384+/-4,-1.042+/-0.005,90
0,-9.714492075,1396+/-6,163.4+/-2.9,121.7+/-2.7,1313+/-11,1087+/-6,1079+/-5,438+/-6,473+/-5,-1.093+/-0.004,72.01145916
0,-9.714492075,1354+/-14,259.5+/-1.4,192+/-5,1261+/-11,1055+/-13,1032+/-8,511+/-6,593+/-5,-1.145+/-0.007,54.02291831
0,-9.714492075,1247+/-6,409.0+/-2.8,311+/-4,1147+/-9,972+/-4,932+/-6,651+/-5,759+/-4,-1.284+/-0.006,36.03437747
0,-9.714492075,1058+/-12,627+/-5,516+/-4,974+/-5,869+/-4,806+/-5,799+/-12,943+/-8,-1.645+/-0.018,18.04583662
0,-9.714492075,903+/-7,776+/-8,652+/-6,829.4+/-3.5,759+/-7,710+/-9,886+/-11,1033+/-7,-2.548+/-0.027,0.05729578
