,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-8,209+/-4,1106+/-6,1143+/-6,217.3+/-2.7,240.2+/-3.1,213+/-4,1132.7+/-3.0,1071+/-9,-0.805+/-0.004
1,-7.165756065,192+/-4,1134+/-10,1153+/-14,192.7+/-2.3,261+/-6,245.7+/-3.2,1103+/-6,1053+/-5,-0.857+/-0.005
2,-6,155+/-4,1165+/-7,1185+/-12,160+/-4,305.1+/-2.5,280+/-5,1067+/-15,1019+/-9,-0.936+/-0.007
3,-5,136.9+/-2.1,1177+/-9,1221+/-10,144+/-5,331+/-4,300+/-5,1026+/-4,981+/-10,-0.994+/-0.005
4,-4,120.9+/-3.1,1208+/-11,1231+/-8,124.5+/-2.5,363+/-5,333+/-6,1001+/-6,971+/-7,-1.044+/-0.005
5,-3,108.1+/-2.6,1217+/-5,1224+/-11,113.0+/-1.9,379.9+/-2.8,342+/-4,976+/-10,933+/-10,-1.079+/-0.006
