,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma,chi
0,-9.714492075,1428+/-16,121.4+/-2.4,110.9+/-3.3,1370+/-5,1085+/-5,1125+/-9,407+/-7,415+/-5,-1.075+/-0.005,90
1,-9.714492075,1434+/-10,159.9+/-2.0,120.9+/-3.1,1367+/-9,1101+/-4,1100+/-6,448+/-7,516+/-5,-1.114+/-0.004,72.01145916
2,-9.714492075,1392+/-9,269.2+/-3.3,195+/-4,1300+/-11,1057+/-7,1047.7+/-3.4,547+/-5,629+/-5,-1.176+/-0.005,54.02291831
3,-9.714492075,1251+/-13,435+/-6,332+/-4,1161+/-10,993+/-5,964+/-9,670+/-5,768+/-6,-1.265+/-0.008,36.03437747
4,-9.714492075,1067+/-4,630+/-4,524+/-5,987+/-12,918+/-4,845+/-6,788+/-7,925+/-5,-1.515+/-0.013,18.04583662
5,-9.714492075,896+/-7,806.9+/-3.2,685+/-5,831+/-11,795+/-8,737+/-11,889+/-6,1041+/-7,-2.609+/-0.032,0.05729578
