,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-28.25,1329+/-11,278+/-5,273+/-5,1266+/-7,1322+/-6,1342+/-10,247.7+/-3.3,244.3+/-3.2,-0.755+/-0.005
1,-27.5,1415+/-8,194.5+/-1.9,185.3+/-1.9,1368+/-6,1241+/-8,1228+/-6,341+/-8,344+/-5,-0.932+/-0.004
2,-26.77383857,1485+/-8,122.3+/-3.3,117.0+/-3.3,1428+/-11,1127+/-12,1139+/-12,430+/-10,440.3+/-3.5,-1.090+/-0.006
3,-26,1527+/-13,66.9+/-1.8,65.2+/-1.9,1494+/-10,985+/-9,1023+/-9,562.3+/-3.4,564+/-7,-1.275+/-0.005
4,-25.25,1537+/-8,39.4+/-1.2,38.4+/-1.0,1490+/-9,851+/-7,888+/-6,699+/-9,686+/-9,-1.451+/-0.005
