,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-11,262.3+/-2.9,1124+/-7,1193.7+/-2.6,269+/-5,201.3+/-1.4,195+/-4,1241+/-13,1211+/-11,-0.715+/-0.005
1,-10,221.8+/-2.8,1180+/-10,1237+/-4,225.8+/-2.3,244.3+/-2.5,237.3+/-3.1,1188+/-4,1171+/-10,-0.809+/-0.004
2,-9,187+/-5,1231+/-8,1294+/-9,181.7+/-3.1,295+/-6,282+/-6,1151+/-10,1126+/-17,-0.903+/-0.007
3,-8,151.7+/-2.3,1251+/-6,1296+/-4,150.7+/-2.5,346+/-7,326+/-5,1085+/-5,1086+/-9,-0.982+/-0.004
4,-7,126.2+/-3.5,1293+/-6,1349+/-10,116.6+/-1.7,392+/-6,375+/-5,1036+/-6,1042+/-9,-1.070+/-0.005
5,-6,103.5+/-3.1,1300+/-8,1347+/-12,98.8+/-2.4,427+/-9,404+/-8,1002.5+/-3.1,997+/-10,-1.125+/-0.006
