W,min_W_prime,eta_arr,chi
0.17482522193478287,-0.14999988461540253,0.7853981633974483,0.001
0.1633871084092673,-0.14949149826496494,0.7853981633974483,0.06640818028312069
0.1519988817007663,-0.14800056317756413,0.7853981633974483,0.13181636056624138
0.14070902398980645,-0.1455391018750461,0.7853981633974483,0.19722454084936208
0.12956581866721284,-0.14212719459375392,0.7853981633974483,0.26263272113248276
0.1186169219348448,-0.13779317092040952,0.7853981633974483,0.32804090141560344
0.10790915899408318,-0.13257389310848133,0.7853981633974483,0.39344908169872417
0.09748832378803857,-0.12651514687973175,0.7853981633974483,0.45885726198184484
0.0873989831548389,-0.11967216033411872,0.7853981633974483,0.5242654422649655
0.07768428622786108,-0.11211027613175917,0.7853981633974483,0.5896736225480862
0.06838577990002717,-0.10390580549847653,0.7853981633974483,0.6550818028312069
0.05954323113977103,-0.0951470930740903,0.7853981633974483,0.7204899831143275
0.05119445691953888,-0.0859358158747843,0.7853981633974483,0.7858981633974483
0.043375162483735796,-0.07638852188570276,0.7853981633974483,0.851306343680569
0.036118788693922405,-0.06663837443609186,0.7853981633974483,0.9167145239636897
0.029456368782340807,-0.05683699276217198,0.7853981633974483,0.9821227042468104
0.02341639609129252,-0.04715614673732446,0.7853981633974483,1.047530884529931
0.01802470178140829,-0.037788852369815065,0.7853981633974483,1.1129390648130517
0.013304344466655902,-0.02894911318383473,0.7853981633974483,1.1783472450961723
0.009275511787523762,-0.020869192127150743,0.7853981633974483,1.243755425379293
0.005955433898861351,-0.013793006126864944,0.7853981633974483,1.3091636056624136
0.0033583096695726225,-0.007964288746055845,0.7853981633974483,1.3745717859455344
0.0014952463550559631,-0.0036089706543929716,0.7853981633974483,1.439979966228655
0.0003742116870116996,-0.0009130749353960519,0.7853981633974483,1.5053881465117758
6.938893800509652e-18,-6.938893903907228e-18,0.7853981633974483,1.5707963267948966
