W,min_W_prime,eta_arr,chi
0.17482500101094722,-0.14999988461540256,0.7853981633974483,0.001
0.16338710841374865,-0.14949149826503683,0.7853981633974483,0.06640818028312069
0.15199888171363507,-0.14800056317755866,0.7853981633974483,0.13181636056624138
0.14070902398980661,-0.1455391018750461,0.7853981633974483,0.19722454084936208
0.1295658186672129,-0.1421271945937539,0.7853981633974483,0.26263272113248276
0.11861692193484283,-0.13779317092041016,0.7853981633974483,0.32804090141560344
0.10790915899403652,-0.1325738931084815,0.7853981633974483,0.39344908169872417
0.09748832378803918,-0.1265151468797317,0.7853981633974483,0.45885726198184484
0.08739898315481973,-0.11967216033411812,0.7853981633974483,0.5242654422649655
0.07768428635078788,-0.11211027613175917,0.7853981633974483,0.5896736225480862
0.06838577990003959,-0.10390580549847653,0.7853981633974483,0.6550818028312069
0.05954323113977114,-0.0951470930740903,0.7853981633974483,0.7204899831143275
0.0511944569195389,-0.08593581587480473,0.7853981633974483,0.7858981633974483
0.043375162486475896,-0.07638852188570276,0.7853981633974483,0.851306343680569
0.03611878864792805,-0.06663837443609211,0.7853981633974483,0.9167145239636897
0.029456368784392215,-0.05683699276217197,0.7853981633974483,0.9821227042468104
0.023416396091288053,-0.04715614673732415,0.7853981633974483,1.047530884529931
0.01802470176106452,-0.03778885236980927,0.7853981633974483,1.1129390648130517
0.013304344462999398,-0.028949113183834675,0.7853981633974483,1.1783472450961723
0.009275511787466204,-0.020869192127180344,0.7853981633974483,1.243755425379293
0.005955433858368879,-0.013793006126865959,0.7853981633974483,1.3091636056624136
0.0033583096695690706,-0.007964288746074709,0.7853981633974483,1.3745717859455344
0.0014952463550559694,-0.0036089706543932162,0.7853981633974483,1.439979966228655
0.0003742116875817686,-0.000913074935396066,0.7853981633974483,1.5053881465117758
-1.3877787807814457e-17,-1.3877787807814457e-17,0.7853981633974483,1.5707963267948966
