W,min_W_prime,eta_arr,chi
9.374998703239891e-08,-4.6449327611000335e-07,0.7853981633974483,0.001
0.0028719761652882337,-0.01439980713067498,0.7853981633974483,0.17542181408832186
0.011267492875830402,-0.0490970230816122,0.7853981633974483,0.3498436281766437
0.024713124444664177,-0.09167301756342201,0.7853981633974483,0.5242654422649656
0.042378395580231945,-0.13450026013170377,0.7853981633974483,0.6986872563532874
0.06299169639211533,-0.17338350884590495,0.7853981633974483,0.8731090704416092
0.07926208507144206,-0.20577345335546965,0.7853981633974483,1.0475308845299311
0.0898025104550827,-0.22999384244949733,0.7853981633974483,1.221952698618253
0.1194753916334762,-0.24494666862766257,0.7853981633974483,1.3963745127065748
0.12499999999999993,-0.24999999999999978,0.7853981633974483,1.5707963267948966
