W,min_W_prime,eta_arr,chi
1.0968748753835215e-07,-2.662745368077915e-07,0.7853981633974483,0.001
0.003363537990818662,-0.008003267885577458,0.7853981633974483,0.17542181408832186
0.013236287301833018,-0.029034830806607567,0.7853981633974483,0.3498436281766437
0.029189252371951156,-0.05734491710755367,0.7853981633974483,0.5242654422649656
0.05047587908337268,-0.08771394746461306,0.7853981633974483,0.6986872563532874
0.07595298458919336,-0.11641155021946106,0.7853981633974483,0.8731090704416092
0.09300511226803722,-0.1409081478986522,0.7853981633974483,1.0475308845299311
0.11222590874605545,-0.15949874180490156,0.7853981633974483,1.221952698618253
0.13562758645154865,-0.17107326982252918,0.7853981633974483,1.3963745127065748
0.1624999999999999,-0.17499999999999977,0.7853981633974483,1.5707963267948966
