0,1,2,3,4
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W1', 0.050000000000000044, [0.4978949931872138]]","['Wp1', -0.03278216033779041, [1.1751070163282045]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W6', 0.026089019065261503, [1.324988843090869]]","['Wp1', -0.09150635094584186, [2.9820590530661293]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947104923, [1.5061307649962714]]","['Wp3', -0.11132960472352976, [2.172120840558298]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.043729121280313754, [2.9922844792387657]]","['Wp1', -0.03468193600630004, [3.1176442771831128]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W3', 0.04999999999999995, [0.6938456212057383]]","['Wp1', -0.04383363185971492, [1.8567760189048461]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.026089100896953654, [2.953347882925852]]","['Wp2', -0.09150620998214398, [2.204132186239995]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.034052483226009414, [0.9375989001329534]]","['Wp2', -0.07768030285452937, [0.4942609193600592]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.055966216390705203, [2.669406011766821]]","['Wp2', -0.03827906343918708, [0.2926981415109252]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947088242, [2.9580630908587175]]","['Wp2', -0.04727866967377881, [2.109774714676131]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.08593139183861755, [2.257454196289906]]","['Wp1', -0.03844005665686474, [2.0701997922599036]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031245, [2.9155793702329]]","['Wp1', -0.01871373881135667, [0.021361196180511407]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W3', 0.034002971693872654, [2.7304766270662317]]","['Wp1', -0.07776696430643294, [1.4104685043973364]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W4', 0.05000000000000003, [1.434598922403669]]","['Wp1', -0.03278216033774685, [0.7593141029117159]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W3', 0.026089019065291652, [2.567866669102576]]","['Wp1', -0.09150635094610873, [1.2227780816549896]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.034876007537797155, [0.5454200243486463]]","['Wp1', -0.02736557873283591, [0.12977324280343333]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113470894068, [0.8117612000359224]]","['Wp1', -0.03695639924825361, [2.5558947579755746]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.034772409306302175, [2.9993726429375775]]","['Wp1', -0.027526271894440547, [1.8315770545308763]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.040747937709507964, [0.5430027684840968]]","['Wp1', -0.013370447127239775, [2.7448571416840286]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.02161178187686532, [1.2364957191736519]]","['Wp1', -0.027871926215099666, [0.45577490286758954]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.012297750403011476, [0.8116705253910229]]","['Wp1', -0.0861617451866543, [3.0166382990168543]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W1', 0.019133582237832358, [1.8164210902073752]]","['Wp1', -0.2334207819987417, [0.0307394844924611]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W1', 0.02870037335674878, [0.8959231954882394]]","['Wp1', -0.1579301447803362, [0.22241906633633834]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.038267164475664486, [1.0153100427874888]]","['Wp1', -0.0915680157045877, [0.11769454016706597]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.0478339555945806, [1.336778902665076]]","['Wp1', -0.03590596184946546, [1.4365607035598487]]"
