0,1,2,3,4
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W6', 0.026089019065260045, [0.3532912925065754]]","['Wp1', -0.09150635094610866, [0.4290843192534078]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947088256, [2.730368992877717]]","['Wp3', -0.1113296047235608, [2.749606141669156]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031248, [0.7786915203314738]]","['Wp1', -0.034681936006703495, [1.8600409070967325]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999993, [0.4254824139344844]]","['Wp1', -0.04383363185971449, [0.9945782232233771]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.0280620849470887, [1.2654086041145556]]","['Wp2', -0.04727866967377474, [1.2688314166295531]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.043729121280312505, [2.6402353437214043]]","['Wp1', -0.018713738811606123, [2.7678360393089774]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W1', 0.050000000000000044, [2.2461470411453988]]","['Wp1', -0.032782160337816446, [0.9047020854156576]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.02608910089695328, [0.7844767747739242]]","['Wp2', -0.09150620998204603, [2.843864287152298]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.03405248322605989, [2.4411987438998732]]","['Wp2', -0.07768030285462146, [1.0728767958500223]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.05596621639097615, [2.3116469725678814]]","['Wp2', -0.038279063439036566, [0.8727810736721306]]"
