0,1,2,3,4
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.4, 0.6]","['W3', 0.1999999999999999, [1.633978926231661]]","['Wp1', -0.09999999999999999, [1.7346458848940247]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.5, 0.5]","['W1', 0.2499999999999999, [2.3025583315389757]]","['Wp1', -2.7755575615628914e-17, [2.4430014069735857]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600753774463, [1.6454081479658913]]","['Wp1', 1.8041124150158794e-16, [3.07373064751409]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113479826075, [2.8712342673759172]]","['Wp1', -0.07759382672647772, [0.8008962481771706]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.07166861127612752, [2.2143330989662298]]","['Wp1', 4.163336342344337e-17, [1.6088481718387537]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04074793770950269, [2.7478512144066207]]","['Wp1', -0.09397869960299739, [3.09897630624269]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.10824085488177235, [1.5756585678077788]]","['Wp1', 2.0816681711721685e-16, [3.0725322253702325]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W3', 0.05000000000000002, [2.476430751642]]","['Wp1', -0.09999999999999995, [1.4328605826636391]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W1', 0.12499999999999997, [0.14254368052426916]]","['Wp1', 0.0, [1.2866018804512966]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.02608910089695328, [1.9275275306910584]]","['Wp3', -0.09150620998209252, [1.2036758884248895]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.03405248322600957, [2.8477505307367426]]","['Wp3', -0.07768030285461502, [3.019384098760126]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.055966216390705176, [1.4004281730670995]]","['Wp3', -0.038279063439222244, [1.818893433019202]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W3', 0.05000000000000003, [1.0283259593484748]]","['Wp3', -0.047278669673727014, [2.952564836227639]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W6', 0.05587933482314034, [2.9782264029607]]","['Wp1', -0.03844005665676983, [1.199815672315753]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031242, [2.158694075517312]]","['Wp1', -0.018713738811576036, [0.014334413090985917]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W6', 0.03400297169386304, [1.4603190476559837]]","['Wp1', -0.07776696430640767, [0.7316372980247914]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W1', 0.050000000000000044, [0.7864838788733639]]","['Wp1', -0.032782160337686425, [1.9664968663076383]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W6', 0.026089019065355712, [1.540253242255907]]","['Wp1', -0.09150635094602519, [1.6754830793976347]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.02806208494708823, [1.9409950081915848]]","['Wp3', -0.1113296047234649, [2.0752650506850325]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031242, [1.0107053293653943]]","['Wp1', -0.03468193600669975, [1.719300699795394]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999993, [2.7900423739696327]]","['Wp1', -0.04383363185971047, [0.29174563734679765]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.02608910089699279, [1.63435530398242]]","['Wp2', -0.09150620998211526, [0.7078999917380525]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.03405248322623396, [2.453039781979062]]","['Wp2', -0.07768030285452523, [1.1146185399375883]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.055966216390705203, [2.67363768679986]]","['Wp2', -0.03827906343917542, [1.6704014144981374]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947098026, [2.053744847435266]]","['Wp2', -0.04727866967374332, [1.6141542427961748]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W3', 0.05587933482314036, [1.1628204035307717]]","['Wp1', -0.03844005665686488, [0.46120076661452214]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031248, [2.638937214286661]]","['Wp1', -0.018713738811606317, [0.0812720806575108]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W3', 0.03400297169398234, [1.0440566059414065]]","['Wp1', -0.07776696430643844, [2.257573992802504]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W4', 0.05000000000000003, [0.5201065025223247]]","['Wp1', -0.03278216033781521, [1.9696864438828114]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W3', 0.026089019065259997, [1.10557775501603]]","['Wp1', -0.09150635094610961, [2.5207865169950194]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(14.999999999999998, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.011059050437920034, [2.0208854649273285]]","['Wp1', -0.009442777419735066, [0.6082554313673553]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(14.999999999999998, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.011027954357408887, [1.0014957408991851]]","['Wp1', -0.009500052403088141, [2.297902992130571]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.034876007537745, [1.2531080185276309]]","['Wp1', -0.027365578732832734, [2.4877446178823717]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113470897662, [1.4631170602088606]]","['Wp1', -0.03695639924826927, [1.2074039091367559]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.03477240930630217, [3.016052379531192]]","['Wp1', -0.02752627189444176, [1.851668354049004]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.03342495151176854, [1.0284955718531683]]","['Wp1', -0.013370447127234016, [2.218146294182123]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.02161178185850263, [1.0384584457759682]]","['Wp1', -0.02787192621506345, [1.8399450348150859]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 0.057295779513082325)]","[0.1, 0.9]","['W4', 0.04999999999999996, [0.45619296904259576]]","['Wp1', -0.40276903052225116, [1.6059629816525811]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.17255556485569726, [0.5250743126304166]]","['Wp1', -0.08616174518665572, [1.6702566336623679]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W1', 0.019133582237832698, [2.9709718732125054]]","['Wp1', -0.2334207819987417, [2.1797313182729776]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.144105305169479, [0.27177502190877806]]","['Wp1', -0.15793014478033623, [0.8672791429867818]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.038267164475664486, [2.9686988575594087]]","['Wp1', -0.09156801570458657, [2.2992883703623193]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.04783395559459262, [2.2247671961695046]]","['Wp1', -0.03590596184941024, [0.9919284171376881]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W1', 0.020626920076217407, [2.343970493644609]]","['Wp1', -0.21598455140535328, [3.1269068847882098]]"
