sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3221,1685579122.0195475,10021.0,51.563337535285456,11519.0,107.78012597671037,0.0,0.0,21408.0,175.21288638554967,466.0,13.84035966135113,0.0,0.0,5.0,1.6666666666666665,0.0,0.0
3222,1685579123.1145923,10371.0,87.03064594344531,11419.0,133.04510513355987,0.0,0.0,21542.0,148.62181685218508,478.0,24.53115932396546,0.0,0.0,8.0,3.265986323710904,0.0,0.0
3223,1685579124.2146077,10244.0,96.05785293827417,11161.0,123.56239989036578,0.0,0.0,21645.0,108.41535356622182,449.0,23.30712814188445,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3224,1685579125.3196096,10045.0,104.57586294700661,11416.0,77.34769981496972,0.0,0.0,21729.0,182.7533249431533,440.0,16.59986613065164,0.0,0.0,11.0,2.333333333333333,0.0,0.0
3225,1685579126.4196172,10161.0,100.41524895264773,11106.0,104.63906217724494,0.0,0.0,21285.0,192.5746608461248,431.0,16.224124698183942,0.0,0.0,5.0,2.23606797749979,0.0,0.0
3226,1685579127.5116189,10325.0,134.7363681004089,11359.0,105.8977494252514,0.0,0.0,21399.0,165.67337343902508,478.0,20.645150089602694,0.0,0.0,7.0,2.134374745810949,0.0,0.0
3227,1685579128.6106215,10257.0,84.02446733607485,11432.0,158.6316487968274,0.0,0.0,21683.0,168.74076106396,447.0,21.03172207246314,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3228,1685579129.710623,10293.0,92.31648462400057,11384.0,86.87411070687924,0.0,0.0,21832.0,163.1141386337255,478.0,17.30767331432956,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3229,1685579130.8126247,10128.0,94.0070919310524,11412.0,70.2819717676984,0.0,0.0,21794.0,167.33333333333331,465.0,27.618431848636476,0.0,0.0,13.0,2.134374745810949,0.0,0.0
3230,1685579131.9156263,10295.0,93.76388786023469,11645.0,97.63025487351072,0.0,0.0,21553.0,144.3379521970727,507.0,22.561028345356956,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
summary,,10214.0,37.79123943161665,11385.3,49.363065364928694,0.0,0.0,21587.0,57.48313762409904,463.9,7.165426249242492,0.0,0.0,7.3,0.8439325934114774,0.0,0.0
