states,eta-chi,probabilities,W,Wp
"['HR_VL', 'HR_iVL']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795137, [1.914498634984575]]","['Wp2', -12.704455651388294, [1.0167595158873473]]"
"['HR_VL', 'HR_iVL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 0.9151140636292343, [2.8300955531783636]]","['Wp2', -10.787074618594563, [2.3713246160640593]]"
"['HR_VL', 'HR_iVL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W5', 1.6798840594999733, [2.9444653024523992]]","['Wp2', -10.787074618594566, [1.4786255968343025]]"
"['HR_VL', 'HR_iVL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.3710381272913796, [0.9110532269462677]]","['Wp2', -10.787074618594563, [0.16913635192956517]]"
"['HR_VL', 'HR_iVL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W6', 3.0205990355045715, [1.395098398867723]]","['Wp2', -10.787074618594566, [1.106159355179033]]"
"['HR_VL', 'HR_iVL']","[0.5, 0.5]","[45.0, 90.0]","['W5', 3.6445097640688493, [2.793816583296792]]","['Wp2', -10.787074618594566, [1.0544613629176371]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W1', 0.017569724478365245, [2.592888295475019]]","['Wp2', -17.596216573195242, [0.4373103267628791]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 4.6325341457027776, [2.366171512746231]]","['Wp2', -9.472850105592112, [2.6172817788987603]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 7.543842561103544, [1.0666490419189005]]","['Wp2', -2.865052682162245, [2.289860637441402]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 9.266207141891561, [1.9735544470104067]]","['Wp2', -2.8635448384726163, [3.0079796150440585]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 10.31522641131154, [3.0620379053509987]]","['Wp2', -8.98165459259653, [1.9794507085920432]]"
"['HR_VL', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W2', 10.994968917586053, [0.3266899721167392]]","['Wp2', -15.423035092903131, [0.8551039052792673]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W1', 0.01473308575949206, [0.5043832094836965]]","['Wp2', -16.111876496125717, [1.7093883914791181]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 3.763468343266127, [2.001399053677142]]","['Wp2', -8.2985725408248, [1.1422006065403854]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 6.053006635505203, [2.7254641252846836]]","['Wp2', -2.429970306978845, [1.3614054487949458]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 7.43250492829092, [1.0102521565139289]]","['Wp2', -2.423795774914507, [2.3135295147071506]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 8.304405372050693, [0.19272811783883903]]","['Wp2', -7.713696660655278, [0.5414178006184469]]"
"['HR_VL', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.889785965624256, [1.2420352967140529]]","['Wp2', -13.385907920067185, [1.0886077464180282]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 0.011880491339730792, [0.7297225482611316]]","['Wp2', -14.466266633976328, [0.6941730587578802]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 2.9486234145932277, [0.02020414724677401]]","['Wp2', -7.030971140565088, [1.6441328029040443]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 4.69683077776592, [0.7696648942829036]]","['Wp2', -1.9827838038068344, [2.3853499669804124]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 5.765820086630098, [2.768122293851007]]","['Wp2', -1.9734912467735373, [0.569669953176582]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 6.460030625917426, [2.4729464196510094]]","['Wp2', -6.382182130820745, [2.1303154487149296]]"
"['HR_VL', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W2', 6.938465801203259, [2.6143050785964057]]","['Wp2', -11.212849195227168, [3.068276268319106]]"
"['HR_VL', 'HL_VR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.207938822750612, [0.9862526556309491]]","['Wp2', -5.703250460186954, [0.627924793625726]]"
"['HR_VL', 'HL_VR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 3.4906252576960326, [1.153662357282861]]","['Wp2', -1.541105173508333, [0.6055725983312793]]"
"['HR_VL', 'HL_VR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 4.284283295689019, [1.4709330772559797]]","['Wp2', -1.5304958686170758, [2.7035000082881764]]"
"['HR_VL', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.810199469100078, [1.071942957298975]]","['Wp2', -5.034896319425851, [1.606530192395305]]"
"['HR_VL', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W2', 5.179803759795139, [0.6950644469688224]]","['Wp2', -8.971567806422925, [1.9776882589419513]]"
"['HR_VL', 'HL_VR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.5572105354169081, [1.6442270611815037]]","['Wp2', -4.358461919419192, [1.1541816229375443]]"
"['HR_VL', 'HL_VR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 2.4475593205811403, [0.8569303662979867]]","['Wp2', -1.1235203741161102, [2.581400473598727]]"
"['HR_VL', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 3.003632893166689, [1.4608564180669505]]","['Wp2', -1.113366766508002, [1.4762203696231866]]"
"['HR_VL', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.3777241872562707, [3.0369841630710934]]","['Wp2', -3.7272368726029375, [0.5903561537575898]]"
"['HR_VL', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.64450976406885, [2.5439768115921955]]","['Wp2', -6.746075574021571, [0.1167349784127697]]"
"['HR_VL', 'HL_iVR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.58384558704111, [1.6610579028623995]]","['Wp2', -9.47285010559212, [0.8035652938165132]]"
"['HR_VL', 'HL_iVR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.88845688477484, [0.7588819812360422]]","['Wp2', -2.8650526821622364, [2.457118091169827]]"
"['HR_VL', 'HL_iVR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 2.133770265812754, [0.9569585992300693]]","['Wp2', -8.298572540824816, [0.20775489970826255]]"
"['HR_VL', 'HL_iVR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.999982564831945, [1.8800806212318923]]","['Wp2', -2.4299703069788494, [0.6837990929694988]]"
"['HR_VL', 'HL_iVR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 1.6955699763309589, [0.5990797725300666]]","['Wp2', -7.030971140565095, [2.0912968339692704]]"
"['HR_VL', 'HL_iVR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.152776583642367, [2.277801442263533]]","['Wp2', -1.9827838038068373, [0.2591008289448224]]"
"['HR_VL', 'HL_iVR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 1.2848675790646924, [0.9481672812883074]]","['Wp2', -5.703250460186979, [1.6062706919636756]]"
"['HR_VL', 'HL_iVR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613431003, [0.9952054360145491]]","['Wp2', -1.541105173508332, [2.9526903995548386]]"
"['HR_VL', 'HL_iVR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.915114063629235, [1.7817671858510329]]","['Wp2', -4.35846191941919, [0.6804886442911051]]"
"['HR_VL', 'HL_iVR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999747, [1.6541693161472428]]","['Wp2', -1.1235203741161097, [2.8525879785179984]]"
"['HR_VL', 'HD_VA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.58384558704111, [1.0369122473551518]]","['Wp2', -16.832378755192472, [2.4109573595649345]]"
"['HR_VL', 'HD_VA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 4.88845688477484, [0.9231803128730407]]","['Wp2', -16.300219017485404, [2.3559899471032635]]"
"['HR_VL', 'HD_VA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 7.022653367975044, [2.920398025309776]]","['Wp2', -15.921487471769705, [2.1132123069345075]]"
"['HR_VL', 'HD_VA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 9.046130854072947, [1.9855238209334134]]","['Wp2', -15.639885126396042, [2.491977074018457]]"
"['HR_VL', 'HD_VA']","[0.1, 0.9]","[45.0, 90.0]","['W4', 10.951347980600858, [1.8840251962642867]]","['Wp2', -15.423035092903131, [2.3703512310821493]]"
"['HR_VL', 'HD_VA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 2.133770265812753, [2.912532509469017]]","['Wp2', -15.11865047142672, [1.0645422313535713]]"
"['HR_VL', 'HD_VA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 3.9999825648319445, [0.6639635901822145]]","['Wp2', -14.449513495364625, [1.140900883713446]]"
"['HR_VL', 'HD_VA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 5.713547497853783, [0.9782992333819572]]","['Wp2', -13.983775604741844, [0.6729217065665782]]"
"['HR_VL', 'HD_VA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 7.332540283937632, [0.6907209133433222]]","['Wp2', -13.643800376760101, [1.132701635794274]]"
"['HR_VL', 'HD_VA']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.889785965624256, [1.6585111638156949]]","['Wp2', -13.385907920067185, [0.05255974441907031]]"
"['HR_VL', 'HD_VA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.6955699763309577, [2.0344600499669427]]","['Wp2', -13.228613156750598, [2.9226241269978717]]"
"['HR_VL', 'HD_VA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.1527765836423667, [0.7002949400092482]]","['Wp2', -12.427333397924993, [3.0512970377285344]]"
"['HR_VL', 'HD_VA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 4.481843800360645, [0.7521284890000668]]","['Wp2', -11.885928163011709, [1.9337063552603766]]"
"['HR_VL', 'HD_VA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.734498224191366, [2.1888825111867622]]","['Wp2', -11.50005060494657, [1.5048899203628703]]"
"['HR_VL', 'HD_VA']","[0.3, 0.7]","[45.0, 90.0]","['W2', 6.938465801203258, [1.1527129252579307]]","['Wp2', -11.212849195227165, [0.49037760720905565]]"
"['HR_VL', 'HD_VA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646924, [0.6050010083687583]]","['Wp2', -11.188290473167621, [2.3508050468817543]]"
"['HR_VL', 'HD_VA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613431003, [1.8476704827058195]]","['Wp2', -10.273620846618455, [1.2982585920332748]]"
"['HR_VL', 'HD_VA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 3.359266116910058, [1.1895631428712128]]","['Wp2', -9.67991164414871, [1.8327066653540567]]"
"['HR_VL', 'HD_VA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [1.8850084556777473]]","['Wp2', -9.26969549477612, [1.952735971540315]]"
"['HR_VL', 'HD_VA']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795138, [0.9391271503180656]]","['Wp2', -8.971567806422925, [0.7343297026621353]]"
"['HR_VL', 'HD_VA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.915114063629235, [1.215595722744378]]","['Wp2', -9.030223102706206, [1.661725512325582]]"
"['HR_VL', 'HD_VA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999744, [0.9162062425775647]]","['Wp2', -8.041139578108076, [0.8347787338132433]]"
"['HR_VL', 'HD_VA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.37103812729138, [2.8714510479363846]]","['Wp2', -7.433662653255186, [1.4880670686779391]]"
"['HR_VL', 'HD_VA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 3.0205990355045724, [0.340598506490055]]","['Wp2', -7.030539227270503, [1.3057437118492894]]"
"['HR_VL', 'HD_VA']","[0.5, 0.5]","[45.0, 90.0]","['W2', 3.6445097640688484, [2.1015119237931548]]","['Wp2', -6.746075574021294, [1.9856110373140123]]"
"['HR_VL', 'HD_iVA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W4', 4.00255101857598, [0.1825917995009872]]","['Wp3', -9.471156839309803, [2.9166853989944515]]"
"['HR_VL', 'HA_VD']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 2.5838455870411097, [0.823340716427393]]","['Wp2', -16.832378755192472, [1.9563895785693253]]"
"['HR_VL', 'HA_VD']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.8884568847748415, [1.7838715419559148]]","['Wp2', -16.300219017485386, [0.6284266699957357]]"
"['HR_VL', 'HA_VD']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 7.022653367975046, [0.04755016086351258]]","['Wp2', -15.921487471769685, [1.6621918901661958]]"
"['HR_VL', 'HA_VD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 9.046130854072947, [1.0563720902086302]]","['Wp2', -15.639885126396035, [2.434020991574604]]"
"['HR_VL', 'HA_VD']","[0.1, 0.9]","[45.0, 90.0]","['W4', 10.95134798060086, [2.5548971953767463]]","['Wp2', -15.423035092903131, [0.8631113759940503]]"
"['HR_VL', 'HA_VD']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 2.1337702658127538, [1.3814545239703513]]","['Wp2', -15.118650471426719, [0.18479822182567707]]"
