time (min),HH,HH_err,VV,VV_err,pct HH,pct HH err
0,1552.28,8.200822622250122,1582.7466666666667,7.843738439011531,49.51409238411582,0.18107450895787883
10,1563.5400000000002,7.212326332531597,1604.5533333333333,6.2561405136475425,49.35271267260646,0.1509718654039913
20,1557.9199999999998,6.975318964436113,1613.8066666666668,8.57150363835168,49.118986713861425,0.17361419426364702
30,1550.9733333333334,6.957105848015187,1619.6933333333332,7.049973259104645,48.91631623212784,0.15618479109463904
40,1551.4199999999998,6.202782503438423,1616.3866666666668,6.11066777125745,48.97457967763184,0.13750317203765897
50,1541.2399999999998,7.415371424060634,1624.5266666666669,6.103590315897666,48.6845735103661,0.1525066349108843
60,1542.4733333333334,6.262313673008082,1618.6533333333332,6.888848820796872,48.79504986618696,0.14695993244450045
70,1539.8466666666666,7.90921704917628,1628.253333333333,6.717060361943857,48.60473680334165,0.16456938627668943
80,1540.8799999999999,7.888261865283272,1624.5333333333333,6.62478965569803,48.67863491234426,0.16351117376895877
90,1553.8400000000001,6.752824512155806,1630.2533333333333,7.046073191324254,48.80007704966773,0.15314178435920411
100,1554.9466666666665,6.045876666793543,1626.5799999999997,6.48225110401024,48.87423019137563,0.13912266010111438
110,1539.6266666666666,7.1607971576222615,1617.98,7.994079448286905,48.759292375448915,0.16953311260180057
120,1538.5466666666666,6.756979010259854,1622.5933333333332,6.977281076759154,48.670627263160334,0.15355199562185695
130,1537.1733333333334,6.160818709314678,1622.3866666666668,6.13406557308341,48.65149999789,0.1376457146289972
140,1534.2199999999998,5.033963391983028,1619.3333333333335,7.940455925368166,48.6505169829589,0.14739341896882427
150,1537.64,6.945421079860725,1629.48,7.293117511682785,48.55010230114426,0.15883742017377442
160,1532.2066666666665,6.6167849902479805,1630.2333333333333,8.01233508854939,48.45014187357442,0.1634063066952904
170,1530.26,7.334540675142053,1625.3200000000002,5.215843614579061,48.49377927354084,0.14407237017533864
180,1537.5933333333332,6.3692306377114996,1633.1133333333332,6.7551583439958165,48.493711181103684,0.14621544574378284
190,1545.3600000000001,5.657978789578709,1626.8266666666668,7.187212520438345,48.715922560252864,0.14335187576259292
200,1538.6999999999998,5.0829101949405535,1633.3799999999999,6.164811777753945,48.50760384353483,0.12528118539549743
210,1544.0266666666666,6.7809666575738525,1639.1200000000001,8.085797228519361,48.506299845854834,0.16497001522941493
220,1543.6599999999999,5.3908979350327995,1635.9866666666665,6.844722519427543,48.54816153576813,0.13613086387846798
230,1540.1799999999998,6.233989496180618,1636.0866666666666,5.559508067990446,48.49026110318193,0.1320006956649364
240,1537.4133333333334,5.47140395389353,1632.7266666666665,6.438635308144885,48.49670151265665,0.13267775229888368
250,1538.4733333333334,5.891188211193214,1631.2600000000002,6.038500444361234,48.53636478357801,0.13303521331135454
260,1540.4933333333333,5.819447201150107,1630.8933333333334,5.712542790832825,48.57475594272117,0.12868688531675504
270,1546.6266666666666,5.800028515925386,1638.1733333333334,6.558317839544449,48.56275642635853,0.13702449380240578
280,1540.3866666666665,6.094278771245226,1642.3666666666668,6.5618309522814915,48.39792799944702,0.14042457105727454
290,1544.9133333333334,4.373301675620672,1640.8266666666666,6.462253311584334,48.49464593260384,0.12114494539512272
