start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s)
2023-06-12_17-36-15,2023-06-12_17-36-45,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25960.433333333334,29429.199999999997,0.0,13216.400000000001,1542.2,0.0,14.366666666666667,0.0,33.828052132972346,34.438931458452416,0.0,20.579148022533317,10.577082143326052,0.0,0.7973567443608777,0.0
2023-06-12_17-37-26,2023-06-12_17-37-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26216.2,29565.666666666668,0.0,13162.566666666666,1562.3666666666668,0.0,13.233333333333334,0.0,39.318867396370116,33.318450010634066,0.0,15.988780788762787,9.153275066578317,0.0,0.5829046043545871,0.0
2023-06-12_17-38-27,2023-06-12_17-38-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25937.933333333334,29313.000000000004,0.0,13264.9,1544.0666666666666,0.0,13.799999999999999,0.0,17.641743426065133,13.826544518907667,0.0,25.22114192498043,9.580350260356392,0.0,0.577350269189626,0.0
2023-06-12_17-39-26,2023-06-12_17-39-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26372.96666666667,29643.5,0.0,13075.933333333332,1576.6000000000001,0.0,12.433333333333335,0.0,32.21574839181045,26.833250517470823,0.0,17.196407893639783,6.041191935371693,0.0,0.49103066208854107,0.0
2023-06-12_17-40-27,2023-06-12_17-40-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25914.766666666666,29204.400000000005,0.0,13340.233333333335,1550.3666666666668,0.0,13.466666666666667,0.0,14.735120555250834,17.4160079620256,0.0,26.93624159215815,7.657748436133908,0.0,0.4184627953726724,0.0
2023-06-12_17-41-25,2023-06-12_17-41-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26479.566666666666,29730.099999999995,0.0,13067.066666666666,1585.1000000000001,0.0,12.966666666666667,0.0,23.690471596075508,40.225854041068324,0.0,22.95140760631269,10.33502136749927,0.0,0.7821622451753715,0.0
2023-06-12_17-42-27,2023-06-12_17-42-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,26000.266666666666,29263.366666666665,0.0,13363.266666666665,1569.033333333333,0.0,13.033333333333331,0.0,29.129351367840645,32.56732172660868,0.0,28.9719711291986,5.6165034595476895,0.0,0.7804557073345746,0.0
2023-06-12_17-43-26,2023-06-12_17-43-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26567.7,29818.533333333336,0.0,13096.6,1596.6666666666667,0.0,12.733333333333334,0.0,36.86576551038444,18.833280235913616,0.0,14.283883692236156,9.507003266598328,0.0,0.28596814119369607,0.0
2023-06-12_17-44-27,2023-06-12_17-44-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25950.899999999998,29277.0,0.0,13406.933333333332,1555.7333333333333,0.0,13.966666666666667,0.0,35.38322578096372,33.77979672328825,0.0,29.37353306029823,10.73109707552981,0.0,0.5251454824882128,0.0
2023-06-12_17-45-26,2023-06-12_17-45-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26592.066666666666,29821.300000000003,0.0,13111.866666666667,1593.0,0.0,12.033333333333333,0.0,20.640973275933025,23.5246679041381,0.0,9.233658237364082,7.2033325620854205,0.0,0.39468693641641833,0.0
2023-06-12_17-46-27,2023-06-12_17-46-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25967.066666666666,29273.0,0.0,13388.533333333333,1565.1000000000001,0.0,13.633333333333333,0.0,19.13089415346574,31.112226964115937,0.0,19.805498675311746,6.369667704571938,0.0,0.3363199534834516,0.0
2023-06-12_17-47-26,2023-06-12_17-47-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26632.100000000002,29868.099999999995,0.0,13097.5,1593.8333333333333,0.0,12.933333333333335,0.0,33.511381151284326,12.029491538160215,0.0,21.824619126115255,10.81904699027496,0.0,0.6102822662051101,0.0
2023-06-12_17-48-27,2023-06-12_17-48-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25967.2,29262.566666666666,0.0,13418.466666666667,1571.7,0.0,14.0,0.0,21.21200917719329,27.43892207147418,0.0,8.811759819191119,6.936233367854151,0.0,0.42583251793790167,0.0
2023-06-12_17-49-25,2023-06-12_17-49-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26614.3,29882.8,0.0,13048.833333333334,1598.1666666666663,0.0,13.4,0.0,14.50588386368353,18.263260022971206,0.0,18.33636944557029,7.07397420910701,0.0,0.5977736472389307,0.0
2023-06-12_17-50-27,2023-06-12_17-50-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25928.100000000002,29120.400000000005,0.0,13412.066666666668,1566.3666666666668,0.0,12.700000000000001,0.0,44.58773373922444,38.565338496288554,0.0,13.807405420441665,7.862725001196749,0.0,0.7037992137913578,0.0
2023-06-12_17-51-26,2023-06-12_17-51-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26752.666666666668,29860.099999999995,0.0,13077.066666666668,1601.3999999999999,0.0,14.1,0.0,40.37767259816294,17.308244663550735,0.0,30.085817995268926,6.539928643851286,0.0,0.20493901531919212,0.0
2023-06-12_17-52-27,2023-06-12_17-52-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,26035.466666666664,29181.300000000003,0.0,13490.299999999997,1557.8999999999999,0.0,14.0,0.0,26.081087230234843,19.626971238578964,0.0,30.712549009593243,8.840625920525442,0.0,0.5773502691896256,0.0
2023-06-12_17-53-25,2023-06-12_17-53-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26742.63333333333,29906.333333333332,0.0,13085.466666666667,1610.2666666666667,0.0,13.666666666666666,0.0,12.594540263322386,31.493815971464123,0.0,21.791537603186942,6.906936931649059,0.0,0.8464304132322069,0.0
2023-06-12_17-54-27,2023-06-12_17-54-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,26000.100000000002,29201.633333333335,0.0,13501.166666666666,1556.6333333333332,0.0,14.600000000000001,0.0,22.693185467595196,27.934132844564573,0.0,25.908218344335758,8.830313949370339,0.0,0.5266244708835065,0.0
2023-06-12_17-55-25,2023-06-12_17-55-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26865.533333333336,30032.533333333336,0.0,13108.833333333334,1619.1000000000001,0.0,13.266666666666667,0.0,35.57076202601101,25.985722575633137,0.0,16.516288256680998,2.35046094770081,0.0,0.690249552295722,0.0
2023-06-12_17-56-27,2023-06-12_17-56-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25969.100000000002,29147.833333333332,0.0,13501.066666666666,1563.166666666667,0.0,12.633333333333333,0.0,23.430734801395758,13.416846789680994,0.0,15.163259690595606,6.008309061439622,0.0,0.40469467228736505,0.0
2023-06-12_17-57-25,2023-06-12_17-57-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26816.46666666667,30026.800000000003,0.0,13011.933333333334,1618.3999999999999,0.0,12.899999999999999,0.0,27.711834615878235,25.42214257951765,0.0,16.820912909563273,6.736368952682653,0.0,0.6319282659711728,0.0
2023-06-12_17-58-27,2023-06-12_17-58-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25922.5,29109.96666666667,0.0,13501.83333333333,1540.533333333333,0.0,13.5,0.0,25.898661484073994,37.01611961174628,0.0,11.812244118333668,8.59172728720935,0.0,0.6319282659711728,0.0
2023-06-12_17-59-26,2023-06-12_17-59-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26818.0,30012.33333333334,0.0,13053.233333333335,1607.2,0.0,13.833333333333334,0.0,64.30064800088196,25.48472309269081,0.0,31.95327491475289,10.57909889042227,0.0,0.6097358262213054,0.0
2023-06-12_18-00-27,2023-06-12_18-00-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25953.7,29163.566666666666,0.0,13484.6,1562.2,0.0,13.333333333333334,0.0,36.5696686704523,34.519382639001286,0.0,15.718439277909699,10.017717637599226,0.0,0.5553777493242275,0.0
2023-06-12_18-01-25,2023-06-12_18-01-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26812.466666666664,30019.766666666666,0.0,13040.233333333335,1610.5666666666666,0.0,12.733333333333333,0.0,28.819977638976972,35.31377131438193,0.0,10.887842353336666,8.608432558318114,0.0,0.6036923425424944,0.0
2023-06-12_18-02-27,2023-06-12_18-02-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25911.233333333334,29087.233333333334,0.0,13467.300000000001,1569.0666666666666,0.0,15.0,0.0,31.72012680372565,23.797053972661477,0.0,21.44778154806068,9.95331323954213,0.0,0.7302967433402219,0.0
2023-06-12_18-03-26,2023-06-12_18-03-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26788.53333333333,30013.96666666667,0.0,13039.366666666667,1618.3999999999999,0.0,12.933333333333335,0.0,28.56793851700028,25.242050453778443,0.0,13.9097487795831,10.07491935451592,0.0,0.35652645218989176,0.0
2023-06-12_18-04-27,2023-06-12_18-04-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25906.233333333337,29067.56666666667,0.0,13500.833333333334,1554.6333333333332,0.0,14.133333333333333,0.0,47.26894446791762,28.32065991070434,0.0,11.577151827822004,2.992174980028924,0.0,0.3126943839882287,0.0
2023-06-12_18-05-26,2023-06-12_18-05-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26839.233333333337,30011.899999999998,0.0,13066.133333333331,1614.4666666666665,0.0,13.933333333333332,0.0,36.093486639250735,35.30600515493071,0.0,20.489845723620753,10.160139981537872,0.0,0.8256983576208554,0.0
2023-06-12_18-06-27,2023-06-12_18-06-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25916.033333333336,29057.566666666666,0.0,13552.4,1547.0666666666666,0.0,13.066666666666668,0.0,14.882779011700531,30.004507068845932,0.0,30.099169423756482,3.425265602029179,0.0,0.599258801446513,0.0
2023-06-12_18-07-26,2023-06-12_18-07-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26905.766666666666,30095.166666666668,0.0,13015.800000000001,1628.6333333333334,0.0,13.533333333333333,0.0,18.11116905239532,23.407657816288044,0.0,19.518060012887076,5.720236980327907,0.0,1.0603982480391245,0.0
2023-06-12_18-08-27,2023-06-12_18-08-58,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25905.2,29102.13333333333,0.0,13500.0,1560.2,0.0,14.299999999999999,0.0,22.650504041485128,21.952716865522227,0.0,17.39164550390002,11.056340563978061,0.0,0.6340346993658944,0.0
2023-06-12_18-09-26,2023-06-12_18-09-56,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26836.833333333332,30071.63333333333,0.0,12978.366666666667,1618.7666666666664,0.0,12.733333333333334,0.0,26.99103143226976,27.676291498520992,0.0,18.263436454049636,10.002455254141903,0.0,0.5529717694220726,0.0
2023-06-12_18-10-27,2023-06-12_18-10-58,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25806.36666666667,29008.199999999997,0.0,13502.0,1551.6333333333334,0.0,14.199999999999998,0.0,31.333365248211074,39.01333105490987,0.0,20.230010710163658,8.245470136855623,0.0,0.9380831519646857,0.0
2023-06-12_18-11-26,2023-06-12_18-11-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.001939392089845,0.00057128906249998,26856.766666666666,30000.366666666665,0.0,12951.033333333333,1627.9333333333334,0.0,13.366666666666667,0.0,20.508041783110034,33.34288196568767,0.0,15.656599602439643,7.171920554805701,0.0,1.1306831759800995,0.0
2023-06-12_18-12-27,2023-06-12_18-12-58,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,0.00057128906249998,25782.066666666666,29023.13333333333,0.0,13484.766666666668,1546.0666666666666,0.0,14.866666666666667,0.0,19.96020485310136,21.13238693990306,0.0,25.97934649764007,4.640593831732218,0.0,0.5129435749779028,0.0
2023-06-12_18-13-26,2023-06-12_18-13-57,6,5,65.38811383928571,335.87276785714283,4.000279017857142,0.002511160714285714,45.0012141418457,9.33837890642053e-05,45.002462005615236,0.00057128906249998,26774.766666666666,29919.833333333332,0.0,12958.666666666666,1610.8333333333333,0.0,14.166666666666666,0.0,17.12451783587219,45.253873990091925,0.0,40.15047253077399,7.799387440334309,0.0,0.5122933187583502,0.0
