W,min_W_prime,eta_arr,chi
8.749999272229932e-08,-2.1428551166192127e-07,0.7853981633974483,0.001
0.0003857372696677711,-0.0009410911461889829,0.7853981633974483,0.06640818028312069
0.001518160728609276,-0.003663471887725699,0.7853981633974483,0.13181636056624138
0.003392514836129855,-0.00804284790490329,0.7853981633974483,0.19722454084936208
0.006000783532528125,-0.013892409718059565,0.7853981633974483,0.26263272113248276
0.009331812022047173,-0.02098579597908239,0.7853981633974483,0.32804090141560344
0.013371354478507702,-0.029079151992780418,0.7853981633974483,0.39344908169872417
0.018102134970511215,-0.0379286645853342,0.7853981633974483,0.45885726198184484
0.02350392134550004,-0.04730231200782039,0.7853981633974483,0.5242654422649655
0.029553611756705685,-0.056986399039997575,0.7853981633974483,0.5896736225480862
0.03622533346293168,-0.06678823722266958,0.7853981633974483,0.6550818028312069
0.04349055347880555,-0.07653637530905699,0.7853981633974483,0.7204899831143275
0.051318200602089775,-0.08607948979908399,0.7853981633974483,0.7858981633974483
0.059674798292753725,-0.09528468521934708,0.7853981633974483,0.851306343680569
0.0685246078509896,-0.10403565363566525,0.7853981633974483,0.9167145239636897
0.0778297812497162,-0.11223093285193461,0.7853981633974483,0.9821227042468104
0.0875505230087296,-0.11978237136373049,0.7853981633974483,1.047530884529931
0.09764526038275126,-0.1266138330831943,0.7853981633974483,1.1129390648130517
0.10807082116117188,-0.13266013591547193,0.7853981633974483,1.1783472450961723
0.11878261828674594,-0.1378662007559205,0.7853981633974483,1.243755425379293
0.12973484076851927,-0.14218638186022584,0.7853981633974483,1.3091636056624136
0.1408806485918555,-0.1455839500718072,0.7853981633974483,1.3745717859455344
0.15217237501168263,-0.14803070380658567,0.7853981633974483,1.439979966228655
0.16356172844930736,-0.14950668724507626,0.7853981633974483,1.5053881465117758
0.17499999999999993,-0.15000000000000002,0.7853981633974483,1.5707963267948966
