W,min_W_prime,eta
[0.49929289511214847],[-0.49999950000041654],[0.001]
[0.4868238819033539],[-0.4998263597609549],[0.01863816097522356]
[0.47437126502675087],[-0.49934273594756085],[0.03627632195044712]
[0.46195053772294115],[-0.4985501363156924],[0.05391448292567068]
[0.4495771549795247],[-0.4974510395004001],[0.07155264390089423]
[0.4372665128704302],[-0.4960488983886183],[0.08919080487611779]
[0.4250339294025578],[-0.4943481447918855],[0.10682896585134136]
[0.41289462545530137],[-0.4923541953973981],[0.12446712682656491]
[0.4008637058417923],[-0.4900734589635022],[0.14210528780178847]
[0.38895614051160826],[-0.4875133447095341],[0.15974344877701202]
[0.3771867459286587],[-0.484682271828054],[0.17738160975223558]
[0.3655701666310578],[-0.48158968001857994],[0.19501977072745913]
[0.35412085701033663],[-0.47824604090426226],[0.2126579317026827]
[0.342853063383343],[-0.4746628701447385],[0.23029609267790627]
[0.33178080598539794],[-0.47085273999759175],[0.24793425365312982]
[0.32091786206939427],[-0.46682929200516365],[0.26557241462835335]
[0.31027774824408744],[-0.4626072493905086],[0.28321057560357693]
[0.2998737038908655],[-0.4582024286335007],[0.3008487365788005]
[0.28971867465614426],[-0.45363174956304747],[0.31848689755402404]
[0.2798252963396703],[-0.44891324314179676],[0.3361250585292476]
[0.27020587917163846],[-0.44406605593393456],[0.35376321950447115]
[0.2608723924951702],[-0.43911045003394766],[0.37140138047969473]
[0.2518364498729787],[-0.43406779699530046],[0.38903954145491826]
[0.243109294674143],[-0.428960564035859],[0.40667770243014184]
[0.23470178593246058],[-0.42381229051763547],[0.4243158634053654]
[0.22662438503181143],[-0.4186475524122465],[0.44195402438058895]
[0.21888714266879722],[-0.41349191218582104],[0.45959218535581253]
[0.21149968618016377],[-0.4083718512897969],[0.47723034633103606]
[0.2044712077030187],[-0.4033146822562844],[0.49486850730625964]
[0.1978104527017748],[-0.39834843730544955],[0.5125066682814832]
[0.1915257091097918],[-0.3935017304221967],[0.5301448292567067]
[0.18562479691128744],[-0.3888035901008278],[0.5477829902319303]
[0.18011505859163007],[-0.38428326044244043],[0.5654211512071539]
[0.1750033498599217],[-0.3799699690709548],[0.5830593121823774]
[0.17029603116203385],[-0.37589266144940825],[0.600697473157601]
[0.1639713701969608],[-0.3720797026473418],[0.6183356341328246]
[0.14721008355355317],[-0.36855854941911464],[0.6359737951080481]
[0.13026562489772922],[-0.36535539754463453],[0.6536119560832716]
[0.11315907804736586],[-0.362494811648753],[0.6712501170584952]
[0.09591172850503504],[-0.3599993469888685],[0.6888882780337188]
[0.07854503697266862],[-0.3578891747685572],[0.7065264390089423]
[0.06108061264822495],[-0.35618172415319294],[0.7241645999841659]
[0.043540186337583754],[-0.35489135508371533],[0.7418027609593895]
[0.025945583415124075],[-0.3540290759942967],[0.759440921934613]
[0.00831869666663333],[-0.3536023195018885],[0.7770790829098365]
[-0.009318540951664204],[-0.3536147870249968],[0.7947172438850602]
[-0.026944183604062012],[-0.35406637021192044],[0.8123554048602837]
[-0.04453629988235181],[-0.35495315325209514],[0.8299935658355072]
[-0.06207300009485271],[-0.356267495949866],[0.8476317268107308]
[-0.07953246350353116],[-0.35799819325727084],[0.8652698877859544]
[-0.09689296547532497],[-0.36013070318885787],[0.8829080487611779]
[-0.11413290451388308],[-0.3626474320140535],[0.9005462097364014]
[-0.13123082913808812],[-0.3655280635712326],[0.9181843707116251]
[-0.14816546457391666],[-0.3687499185711126],[0.9358225316868486]
[-0.16491573922642494],[-0.37228832982286597],[0.9534606926620721]
[-0.1814608108989196],[-0.3761170202823141],[0.9710988536372956]
[-0.1977800927266925],[-0.38020847247199724],[0.9887370146125193]
[-0.21385327879304666],[-0.3845342799091756],[1.0063751755877428]
